"Step","0 - mean_reward","0 - mean_reward__MIN","0 - mean_reward__MAX"
"0","0.07659323649963369","0.07659323649963369","0.07659323649963369"
"1","0.10206386811469481","0.10206386811469481","0.10206386811469481"
"2","0.13241765842844663","0.13241765842844663","0.13241765842844663"
"3","0.11475956417646234","0.11475956417646234","0.11475956417646234"
"4","0.1547328153534057","0.1547328153534057","0.1547328153534057"
"5","0.15414131246596358","0.15414131246596358","0.15414131246596358"
"6","0.15521487909507206","0.15521487909507206","0.15521487909507206"
"7","0.13738586743766065","0.13738586743766065","0.13738586743766065"
"8","0.10329317654916062","0.10329317654916062","0.10329317654916062"
"9","0.15780117386637213","0.15780117386637213","0.15780117386637213"
"10","0.1663836566449061","0.1663836566449061","0.1663836566449061"
"11","0.18169265136657614","0.18169265136657614","0.18169265136657614"
"12","0.1447515886752194","0.1447515886752194","0.1447515886752194"
"13","0.140267973420556","0.140267973420556","0.140267973420556"
"14","0.12746286926556114","0.12746286926556114","0.12746286926556114"
"15","0.17149712277899562","0.17149712277899562","0.17149712277899562"
"16","0.20321707197669447","0.20321707197669447","0.20321707197669447"
"17","0.14012656947259156","0.14012656947259156","0.14012656947259156"
"18","0.15139030446953705","0.15139030446953705","0.15139030446953705"
"19","0.17439427669810317","0.17439427669810317","0.17439427669810317"
"20","0.15403723273323683","0.15403723273323683","0.15403723273323683"
"21","0.13962320353479468","0.13962320353479468","0.13962320353479468"
"22","0.14553590763690924","0.14553590763690924","0.14553590763690924"
"23","0.18049898163107078","0.18049898163107078","0.18049898163107078"
"24","0.16509045831692346","0.16509045831692346","0.16509045831692346"
"25","0.16051812085996853","0.16051812085996853","0.16051812085996853"
"26","0.17460104097021237","0.17460104097021237","0.17460104097021237"
"27","0.1703346435762135","0.1703346435762135","0.1703346435762135"
"28","0.15598917709308663","0.15598917709308663","0.15598917709308663"
"29","0.18795484622780853","0.18795484622780853","0.18795484622780853"
"30","0.14311242289199527","0.14311242289199527","0.14311242289199527"
"31","0.18226873104873959","0.18226873104873959","0.18226873104873959"
"32","0.17099664833468273","0.17099664833468273","0.17099664833468273"
"33","0.15985658476976086","0.15985658476976086","0.15985658476976086"
"34","0.16437475494044929","0.16437475494044929","0.16437475494044929"
"35","0.19311561100026403","0.19311561100026403","0.19311561100026403"
"36","0.18142467670935053","0.18142467670935053","0.18142467670935053"
"37","0.19869161547426145","0.19869161547426145","0.19869161547426145"
"38","0.19475567412833952","0.19475567412833952","0.19475567412833952"
"39","0.16592628682380464","0.16592628682380464","0.16592628682380464"
"40","0.1767986295087168","0.1767986295087168","0.1767986295087168"
"41","0.18664236055442718","0.18664236055442718","0.18664236055442718"
"42","0.18603274853239693","0.18603274853239693","0.18603274853239693"
"43","0.1841240881283353","0.1841240881283353","0.1841240881283353"
"44","0.18072599095144595","0.18072599095144595","0.18072599095144595"
"45","0.22664693367825528","0.22664693367825528","0.22664693367825528"
"46","0.1844025343580636","0.1844025343580636","0.1844025343580636"
"47","0.16454681478193414","0.16454681478193414","0.16454681478193414"
"48","0.18883115450948304","0.18883115450948304","0.18883115450948304"
"49","0.17395003437086654","0.17395003437086654","0.17395003437086654"
"50","0.20547103916458812","0.20547103916458812","0.20547103916458812"
"51","0.18449694731812752","0.18449694731812752","0.18449694731812752"
"52","0.16226949541330754","0.16226949541330754","0.16226949541330754"
"53","0.2199923775060399","0.2199923775060399","0.2199923775060399"
"54","0.2153198217418907","0.2153198217418907","0.2153198217418907"
"55","0.16836331999306958","0.16836331999306958","0.16836331999306958"
"56","0.18400848893298447","0.18400848893298447","0.18400848893298447"
"57","0.21311871071123512","0.21311871071123512","0.21311871071123512"
"58","0.1892871714347521","0.1892871714347521","0.1892871714347521"
"59","0.2101494885153726","0.2101494885153726","0.2101494885153726"
"60","0.15302592679757085","0.15302592679757085","0.15302592679757085"
"61","0.15508384554472474","0.15508384554472474","0.15508384554472474"
"62","0.15953780529826653","0.15953780529826653","0.15953780529826653"
"63","0.21210960797038883","0.21210960797038883","0.21210960797038883"
"64","0.17952871245787058","0.17952871245787058","0.17952871245787058"
"65","0.1510206120918925","0.1510206120918925","0.1510206120918925"
"66","0.20202696613894838","0.20202696613894838","0.20202696613894838"
"67","0.2153808982977228","0.2153808982977228","0.2153808982977228"
"68","0.22011730593201112","0.22011730593201112","0.22011730593201112"
"69","0.17670561732646478","0.17670561732646478","0.17670561732646478"
"70","0.18506201907040234","0.18506201907040234","0.18506201907040234"
"71","0.2016711547842082","0.2016711547842082","0.2016711547842082"
"72","0.17403084210167022","0.17403084210167022","0.17403084210167022"
"73","0.17107652636206197","0.17107652636206197","0.17107652636206197"
"74","0.13629602752259448","0.13629602752259448","0.13629602752259448"
"75","0.21042801630209712","0.21042801630209712","0.21042801630209712"
"76","0.2115513888585028","0.2115513888585028","0.2115513888585028"
"77","0.19654446977731146","0.19654446977731146","0.19654446977731146"
"78","0.16257659582946132","0.16257659582946132","0.16257659582946132"
"79","0.20727827138233215","0.20727827138233215","0.20727827138233215"
"80","0.20517193079285928","0.20517193079285928","0.20517193079285928"
"81","0.20685906814938992","0.20685906814938992","0.20685906814938992"
"82","0.13461007535406636","0.13461007535406636","0.13461007535406636"
"83","0.1812458158506594","0.1812458158506594","0.1812458158506594"
"84","0.1828594328646328","0.1828594328646328","0.1828594328646328"
"85","0.2152251590717825","0.2152251590717825","0.2152251590717825"
"86","0.18296000761880926","0.18296000761880926","0.18296000761880926"
"87","0.18430131867971605","0.18430131867971605","0.18430131867971605"
"88","0.1816534119790778","0.1816534119790778","0.1816534119790778"
"89","0.2062243316998906","0.2062243316998906","0.2062243316998906"
"90","0.1661263368646246","0.1661263368646246","0.1661263368646246"
"91","0.1908184806714904","0.1908184806714904","0.1908184806714904"
"92","0.23411263465295135","0.23411263465295135","0.23411263465295135"
"93","0.1972008544999054","0.1972008544999054","0.1972008544999054"
"94","0.1842675413040034","0.1842675413040034","0.1842675413040034"
"95","0.14478958116374632","0.14478958116374632","0.14478958116374632"
"96","0.20833437432744564","0.20833437432744564","0.20833437432744564"
"97","0.1530531426213058","0.1530531426213058","0.1530531426213058"
"98","0.22265902057753575","0.22265902057753575","0.22265902057753575"
"99","0.19872789082954956","0.19872789082954956","0.19872789082954956"
"100","0.18623842230515847","0.18623842230515847","0.18623842230515847"
"101","0.18913284934604352","0.18913284934604352","0.18913284934604352"
"102","0.1890056416857167","0.1890056416857167","0.1890056416857167"
"103","0.16370902072489488","0.16370902072489488","0.16370902072489488"
"104","0.1638558173429966","0.1638558173429966","0.1638558173429966"
"105","0.18796787657277367","0.18796787657277367","0.18796787657277367"
"106","0.18938779423593635","0.18938779423593635","0.18938779423593635"
"107","0.19801396981053213","0.19801396981053213","0.19801396981053213"
"108","0.2085382446940409","0.2085382446940409","0.2085382446940409"
"109","0.20723417425055585","0.20723417425055585","0.20723417425055585"
"110","0.19847702277329057","0.19847702277329057","0.19847702277329057"
"111","0.2099656448762208","0.2099656448762208","0.2099656448762208"
"112","0.23224165297410776","0.23224165297410776","0.23224165297410776"
"113","0.17171728081937887","0.17171728081937887","0.17171728081937887"
"114","0.21595390698474876","0.21595390698474876","0.21595390698474876"
"115","0.1928213527877547","0.1928213527877547","0.1928213527877547"
"116","0.17237593584573524","0.17237593584573524","0.17237593584573524"
"117","0.13038404479682536","0.13038404479682536","0.13038404479682536"
"118","0.13312076240622928","0.13312076240622928","0.13312076240622928"
"119","0.21404779533096238","0.21404779533096238","0.21404779533096238"
"120","0.20049574013335458","0.20049574013335458","0.20049574013335458"
"121","0.20291940818739942","0.20291940818739942","0.20291940818739942"
"122","0.20110317714614823","0.20110317714614823","0.20110317714614823"
"123","0.19812086835081527","0.19812086835081527","0.19812086835081527"
"124","0.20302886197404957","0.20302886197404957","0.20302886197404957"
"125","0.181008524282213","0.181008524282213","0.181008524282213"
"126","0.23508412572316462","0.23508412572316462","0.23508412572316462"
"127","0.15835060075090468","0.15835060075090468","0.15835060075090468"
"128","0.2219925772453777","0.2219925772453777","0.2219925772453777"
"129","0.22058080052713283","0.22058080052713283","0.22058080052713283"
"130","0.23649421411301302","0.23649421411301302","0.23649421411301302"
"131","0.1452907981387949","0.1452907981387949","0.1452907981387949"
"132","0.21011000321195186","0.21011000321195186","0.21011000321195186"
"133","0.2156988772977193","0.2156988772977193","0.2156988772977193"
"134","0.19534107183170288","0.19534107183170288","0.19534107183170288"
"135","0.18282183453759007","0.18282183453759007","0.18282183453759007"
"136","0.16804820668026027","0.16804820668026027","0.16804820668026027"
"137","0.1924619319904874","0.1924619319904874","0.1924619319904874"
"138","0.19499925798301201","0.19499925798301201","0.19499925798301201"
"139","0.17980056628674354","0.17980056628674354","0.17980056628674354"
"140","0.18497581822799591","0.18497581822799591","0.18497581822799591"
"141","0.19195506413955732","0.19195506413955732","0.19195506413955732"
"142","0.1879000328106566","0.1879000328106566","0.1879000328106566"
"143","0.20628232210778508","0.20628232210778508","0.20628232210778508"
"144","0.12565572970460545","0.12565572970460545","0.12565572970460545"
"145","0.21644285920370052","0.21644285920370052","0.21644285920370052"
"146","0.1883282502480253","0.1883282502480253","0.1883282502480253"
"147","0.16699276578755032","0.16699276578755032","0.16699276578755032"
"148","0.19463829055910808","0.19463829055910808","0.19463829055910808"
"149","0.1702715051806247","0.1702715051806247","0.1702715051806247"
"150","0.225348198302308","0.225348198302308","0.225348198302308"
"151","0.22111156246006833","0.22111156246006833","0.22111156246006833"
"152","0.18355812395630763","0.18355812395630763","0.18355812395630763"
"153","0.2177657386036972","0.2177657386036972","0.2177657386036972"
"154","0.1792974876776477","0.1792974876776477","0.1792974876776477"
"155","0.2180968633395951","0.2180968633395951","0.2180968633395951"
"156","0.20434414457440858","0.20434414457440858","0.20434414457440858"
"157","0.2071706410529896","0.2071706410529896","0.2071706410529896"
"158","0.2326482815593852","0.2326482815593852","0.2326482815593852"
"159","0.19235988109974733","0.19235988109974733","0.19235988109974733"
"160","0.22434257430231053","0.22434257430231053","0.22434257430231053"
"161","0.21223172699919848","0.21223172699919848","0.21223172699919848"
"162","0.19995801946429217","0.19995801946429217","0.19995801946429217"
"163","0.199370980928843","0.199370980928843","0.199370980928843"
"164","0.17056457517032494","0.17056457517032494","0.17056457517032494"
"165","0.1934594288810586","0.1934594288810586","0.1934594288810586"
"166","0.16080735751732056","0.16080735751732056","0.16080735751732056"
"167","0.1796843953620997","0.1796843953620997","0.1796843953620997"
"168","0.18330618644459398","0.18330618644459398","0.18330618644459398"
"169","0.18962887480778376","0.18962887480778376","0.18962887480778376"
"170","0.18871445211601462","0.18871445211601462","0.18871445211601462"
"171","0.190392004015303","0.190392004015303","0.190392004015303"
"172","0.1903996000741862","0.1903996000741862","0.1903996000741862"
"173","0.18796712559420156","0.18796712559420156","0.18796712559420156"
"174","0.20202395489794453","0.20202395489794453","0.20202395489794453"
"175","0.20543334551863288","0.20543334551863288","0.20543334551863288"
"176","0.18214996296781674","0.18214996296781674","0.18214996296781674"
"177","0.16476057555332438","0.16476057555332438","0.16476057555332438"
"178","0.2134164023781191","0.2134164023781191","0.2134164023781191"
"179","0.2125733350442771","0.2125733350442771","0.2125733350442771"
"180","0.20434930368428603","0.20434930368428603","0.20434930368428603"
"181","0.18230562758713256","0.18230562758713256","0.18230562758713256"
"182","0.21688473955973242","0.21688473955973242","0.21688473955973242"
"183","0.20028051968386296","0.20028051968386296","0.20028051968386296"
"184","0.17406174806759844","0.17406174806759844","0.17406174806759844"
"185","0.2407122782073649","0.2407122782073649","0.2407122782073649"
"186","0.19116549974113084","0.19116549974113084","0.19116549974113084"
"187","0.2267543582923011","0.2267543582923011","0.2267543582923011"
"188","0.19580795241862517","0.19580795241862517","0.19580795241862517"
"189","0.1979548557558589","0.1979548557558589","0.1979548557558589"
"190","0.20011719490074834","0.20011719490074834","0.20011719490074834"
"191","0.20350432976154775","0.20350432976154775","0.20350432976154775"
"192","0.18752551317936272","0.18752551317936272","0.18752551317936272"
"193","0.2228246908728928","0.2228246908728928","0.2228246908728928"
"194","0.17048476188631276","0.17048476188631276","0.17048476188631276"
"195","0.20423508348870378","0.20423508348870378","0.20423508348870378"
"196","0.197041996613389","0.197041996613389","0.197041996613389"
"197","0.17899348725405723","0.17899348725405723","0.17899348725405723"
"198","0.20021621499244668","0.20021621499244668","0.20021621499244668"
"199","0.20401918178145872","0.20401918178145872","0.20401918178145872"
