"Step","1 - mean_reward","1 - mean_reward__MIN","1 - mean_reward__MAX"
"0","0.11274807241422025","0.11274807241422025","0.11274807241422025"
"1","0.11599218340955773","0.11599218340955773","0.11599218340955773"
"2","0.13583243748632712","0.13583243748632712","0.13583243748632712"
"3","0.09883245587060462","0.09883245587060462","0.09883245587060462"
"4","0.15236495969846106","0.15236495969846106","0.15236495969846106"
"5","0.1397731817480816","0.1397731817480816","0.1397731817480816"
"6","0.15103309528588973","0.15103309528588973","0.15103309528588973"
"7","0.13319833579742768","0.13319833579742768","0.13319833579742768"
"8","0.10629324396743392","0.10629324396743392","0.10629324396743392"
"9","0.14698435550519284","0.14698435550519284","0.14698435550519284"
"10","0.15771880331359825","0.15771880331359825","0.15771880331359825"
"11","0.1625469630328456","0.1625469630328456","0.1625469630328456"
"12","0.11745838511161254","0.11745838511161254","0.11745838511161254"
"13","0.15368076956166923","0.15368076956166923","0.15368076956166923"
"14","0.10638444702040187","0.10638444702040187","0.10638444702040187"
"15","0.15532609062350383","0.15532609062350383","0.15532609062350383"
"16","0.1681379157898281","0.1681379157898281","0.1681379157898281"
"17","0.09882792266724524","0.09882792266724524","0.09882792266724524"
"18","0.12034956423621877","0.12034956423621877","0.12034956423621877"
"19","0.13597041993538977","0.13597041993538977","0.13597041993538977"
"20","0.1394509251419838","0.1394509251419838","0.1394509251419838"
"21","0.1457616427907036","0.1457616427907036","0.1457616427907036"
"22","0.13700959495883683","0.13700959495883683","0.13700959495883683"
"23","0.16846293243444763","0.16846293243444763","0.16846293243444763"
"24","0.16556273203753577","0.16556273203753577","0.16556273203753577"
"25","0.155721252872309","0.155721252872309","0.155721252872309"
"26","0.17512355331112123","0.17512355331112123","0.17512355331112123"
"27","0.12855745982810513","0.12855745982810513","0.12855745982810513"
"28","0.1793367603467157","0.1793367603467157","0.1793367603467157"
"29","0.14858335626784078","0.14858335626784078","0.14858335626784078"
"30","0.14789133509044494","0.14789133509044494","0.14789133509044494"
"31","0.1224607250351173","0.1224607250351173","0.1224607250351173"
"32","0.12370232072288025","0.12370232072288025","0.12370232072288025"
"33","0.15202835642848106","0.15202835642848106","0.15202835642848106"
"34","0.12368866940463641","0.12368866940463641","0.12368866940463641"
"35","0.1384811375914986","0.1384811375914986","0.1384811375914986"
"36","0.08423013533546328","0.08423013533546328","0.08423013533546328"
"37","0.18978464723239466","0.18978464723239466","0.18978464723239466"
"38","0.08444606259071087","0.08444606259071087","0.08444606259071087"
"39","0.1361675902446352","0.1361675902446352","0.1361675902446352"
"40","0.1347337837776641","0.1347337837776641","0.1347337837776641"
"41","0.16847765774394408","0.16847765774394408","0.16847765774394408"
"42","0.17491345164756586","0.17491345164756586","0.17491345164756586"
"43","0.17229755035453476","0.17229755035453476","0.17229755035453476"
"44","0.13837663953787935","0.13837663953787935","0.13837663953787935"
"45","0.16734892333527435","0.16734892333527435","0.16734892333527435"
"46","0.14129089752199805","0.14129089752199805","0.14129089752199805"
"47","0.1702808647126696","0.1702808647126696","0.1702808647126696"
"48","0.1367924442775752","0.1367924442775752","0.1367924442775752"
"49","0.15113060079840504","0.15113060079840504","0.15113060079840504"
"50","0.19474658387282204","0.19474658387282204","0.19474658387282204"
"51","0.16539883739631686","0.16539883739631686","0.16539883739631686"
"52","0.18181956680532224","0.18181956680532224","0.18181956680532224"
"53","0.1871461204882685","0.1871461204882685","0.1871461204882685"
"54","0.18596501207690774","0.18596501207690774","0.18596501207690774"
"55","0.1865635308917645","0.1865635308917645","0.1865635308917645"
"56","0.16956352675957886","0.16956352675957886","0.16956352675957886"
"57","0.18691108406003443","0.18691108406003443","0.18691108406003443"
"58","0.16979491723219706","0.16979491723219706","0.16979491723219706"
"59","0.18006529051657827","0.18006529051657827","0.18006529051657827"
"60","0.12551046582575642","0.12551046582575642","0.12551046582575642"
"61","0.1649416988310373","0.1649416988310373","0.1649416988310373"
"62","0.15525801977407008","0.15525801977407008","0.15525801977407008"
"63","0.1734000554183636","0.1734000554183636","0.1734000554183636"
"64","0.15474691721253997","0.15474691721253997","0.15474691721253997"
"65","0.1700064233776364","0.1700064233776364","0.1700064233776364"
"66","0.18297945436328614","0.18297945436328614","0.18297945436328614"
"67","0.17685422891533661","0.17685422891533661","0.17685422891533661"
"68","0.17076102435237422","0.17076102435237422","0.17076102435237422"
"69","0.15792364551759458","0.15792364551759458","0.15792364551759458"
"70","0.15835028264564907","0.15835028264564907","0.15835028264564907"
"71","0.16392621963325063","0.16392621963325063","0.16392621963325063"
"72","0.16654036273424833","0.16654036273424833","0.16654036273424833"
"73","0.14166910230643656","0.14166910230643656","0.14166910230643656"
"74","0.1393679837065782","0.1393679837065782","0.1393679837065782"
"75","0.16171992780601346","0.16171992780601346","0.16171992780601346"
"76","0.15420794987128134","0.15420794987128134","0.15420794987128134"
"77","0.11516972366996571","0.11516972366996571","0.11516972366996571"
"78","0.14017265049172223","0.14017265049172223","0.14017265049172223"
"79","0.1559269635290038","0.1559269635290038","0.1559269635290038"
"80","0.17548792459634327","0.17548792459634327","0.17548792459634327"
"81","0.18368654535348483","0.18368654535348483","0.18368654535348483"
"82","0.18871833486854242","0.18871833486854242","0.18871833486854242"
"83","0.14164938200779786","0.14164938200779786","0.14164938200779786"
"84","0.17876597518852783","0.17876597518852783","0.17876597518852783"
"85","0.12580499170354714","0.12580499170354714","0.12580499170354714"
"86","0.1616083721324685","0.1616083721324685","0.1616083721324685"
"87","0.1286334503122858","0.1286334503122858","0.1286334503122858"
"88","0.17027555389255505","0.17027555389255505","0.17027555389255505"
"89","0.141444283428826","0.141444283428826","0.141444283428826"
"90","0.13314239506159847","0.13314239506159847","0.13314239506159847"
"91","0.13159071408051357","0.13159071408051357","0.13159071408051357"
"92","0.13319176222808704","0.13319176222808704","0.13319176222808704"
"93","0.14195077545617601","0.14195077545617601","0.14195077545617601"
"94","0.141031274890015","0.141031274890015","0.141031274890015"
"95","0.10249937195394379","0.10249937195394379","0.10249937195394379"
"96","0.1288225302420492","0.1288225302420492","0.1288225302420492"
"97","0.16744204644272945","0.16744204644272945","0.16744204644272945"
"98","0.1365726443521669","0.1365726443521669","0.1365726443521669"
"99","0.11920511214993224","0.11920511214993224","0.11920511214993224"
"100","0.15923940955069224","0.15923940955069224","0.15923940955069224"
"101","0.11870866053897276","0.11870866053897276","0.11870866053897276"
"102","0.12106276975328477","0.12106276975328477","0.12106276975328477"
"103","0.1311975694838603","0.1311975694838603","0.1311975694838603"
"104","0.15421981868074205","0.15421981868074205","0.15421981868074205"
"105","0.1533638952438112","0.1533638952438112","0.1533638952438112"
"106","0.14178301099130144","0.14178301099130144","0.14178301099130144"
"107","0.1548789705524168","0.1548789705524168","0.1548789705524168"
"108","0.14370033132945703","0.14370033132945703","0.14370033132945703"
"109","0.15886746254333642","0.15886746254333642","0.15886746254333642"
"110","0.1353388916795183","0.1353388916795183","0.1353388916795183"
"111","0.15357137316227112","0.15357137316227112","0.15357137316227112"
"112","0.16793938428051738","0.16793938428051738","0.16793938428051738"
"113","0.14143816812768376","0.14143816812768376","0.14143816812768376"
"114","0.16410443130538066","0.16410443130538066","0.16410443130538066"
"115","0.14568387071813366","0.14568387071813366","0.14568387071813366"
"116","0.15863684269593553","0.15863684269593553","0.15863684269593553"
"117","0.16029198768968134","0.16029198768968134","0.16029198768968134"
"118","0.13556721443191724","0.13556721443191724","0.13556721443191724"
"119","0.16038766041410635","0.16038766041410635","0.16038766041410635"
"120","0.15526781694116631","0.15526781694116631","0.15526781694116631"
"121","0.15293202402419478","0.15293202402419478","0.15293202402419478"
"122","0.16245055755122292","0.16245055755122292","0.16245055755122292"
"123","0.17300375571068796","0.17300375571068796","0.17300375571068796"
"124","0.17169239725318397","0.17169239725318397","0.17169239725318397"
"125","0.15444717092772756","0.15444717092772756","0.15444717092772756"
"126","0.19504691700172003","0.19504691700172003","0.19504691700172003"
"127","0.15793088407618525","0.15793088407618525","0.15793088407618525"
"128","0.18061933613022293","0.18061933613022293","0.18061933613022293"
"129","0.17963179021041167","0.17963179021041167","0.17963179021041167"
"130","0.18254637736267512","0.18254637736267512","0.18254637736267512"
"131","0.16406607552606015","0.16406607552606015","0.16406607552606015"
"132","0.184101049781083","0.184101049781083","0.184101049781083"
"133","0.1573772467974968","0.1573772467974968","0.1573772467974968"
"134","0.10215765830759038","0.10215765830759038","0.10215765830759038"
"135","0.11347749913119722","0.11347749913119722","0.11347749913119722"
"136","0.13563098981030583","0.13563098981030583","0.13563098981030583"
"137","0.14762969588340466","0.14762969588340466","0.14762969588340466"
"138","0.16077502975035726","0.16077502975035726","0.16077502975035726"
"139","0.17818207907191785","0.17818207907191785","0.17818207907191785"
"140","0.1418147418747778","0.1418147418747778","0.1418147418747778"
"141","0.12462378334569725","0.12462378334569725","0.12462378334569725"
"142","0.1888523220668646","0.1888523220668646","0.1888523220668646"
"143","0.1432151265415995","0.1432151265415995","0.1432151265415995"
"144","0.14198276784999372","0.14198276784999372","0.14198276784999372"
"145","0.14362194664074168","0.14362194664074168","0.14362194664074168"
"146","0.0875190983961187","0.0875190983961187","0.0875190983961187"
"147","0.14079390202872552","0.14079390202872552","0.14079390202872552"
"148","0.17125797143298477","0.17125797143298477","0.17125797143298477"
"149","0.17884689217022212","0.17884689217022212","0.17884689217022212"
"150","0.1405088400328683","0.1405088400328683","0.1405088400328683"
"151","0.17998431336740978","0.17998431336740978","0.17998431336740978"
"152","0.13050446339292865","0.13050446339292865","0.13050446339292865"
"153","0.17929974148775774","0.17929974148775774","0.17929974148775774"
"154","0.13719985339403112","0.13719985339403112","0.13719985339403112"
"155","0.1577984335335813","0.1577984335335813","0.1577984335335813"
"156","0.10935079998171922","0.10935079998171922","0.10935079998171922"
"157","0.16299741605469842","0.16299741605469842","0.16299741605469842"
"158","0.20370081735027093","0.20370081735027093","0.20370081735027093"
"159","0.1865945214319784","0.1865945214319784","0.1865945214319784"
"160","0.19561573191764958","0.19561573191764958","0.19561573191764958"
"161","0.1838145058102982","0.1838145058102982","0.1838145058102982"
"162","0.15709294768469745","0.15709294768469745","0.15709294768469745"
"163","0.17778086555953018","0.17778086555953018","0.17778086555953018"
"164","0.10952336889443344","0.10952336889443344","0.10952336889443344"
"165","0.14570844557900062","0.14570844557900062","0.14570844557900062"
"166","0.13749071931225668","0.13749071931225668","0.13749071931225668"
"167","0.14278263212924197","0.14278263212924197","0.14278263212924197"
"168","0.12806148947105506","0.12806148947105506","0.12806148947105506"
"169","0.15305147535417754","0.15305147535417754","0.15305147535417754"
"170","0.16400917394894204","0.16400917394894204","0.16400917394894204"
"171","0.1568285441177907","0.1568285441177907","0.1568285441177907"
"172","0.1424206774009938","0.1424206774009938","0.1424206774009938"
"173","0.15651725709457795","0.15651725709457795","0.15651725709457795"
"174","0.08353583112107935","0.08353583112107935","0.08353583112107935"
"175","0.131521820696115","0.131521820696115","0.131521820696115"
"176","0.14610051184356831","0.14610051184356831","0.14610051184356831"
"177","0.1721515732015065","0.1721515732015065","0.1721515732015065"
"178","0.16541075401110797","0.16541075401110797","0.16541075401110797"
"179","0.16023073360185397","0.16023073360185397","0.16023073360185397"
"180","0.1566714967450197","0.1566714967450197","0.1566714967450197"
"181","0.13825423114245117","0.13825423114245117","0.13825423114245117"
"182","0.15831123293292684","0.15831123293292684","0.15831123293292684"
"183","0.14495885992379565","0.14495885992379565","0.14495885992379565"
"184","0.15348760132101705","0.15348760132101705","0.15348760132101705"
"185","0.16125222984549745","0.16125222984549745","0.16125222984549745"
"186","0.17366907886565977","0.17366907886565977","0.17366907886565977"
"187","0.14902122306385432","0.14902122306385432","0.14902122306385432"
"188","0.14876856674909333","0.14876856674909333","0.14876856674909333"
"189","0.10927697911806894","0.10927697911806894","0.10927697911806894"
"190","0.15362063782308066","0.15362063782308066","0.15362063782308066"
"191","0.18088363098625415","0.18088363098625415","0.18088363098625415"
"192","0.14576002388293594","0.14576002388293594","0.14576002388293594"
"193","0.14553583541588172","0.14553583541588172","0.14553583541588172"
"194","0.17567716539975964","0.17567716539975964","0.17567716539975964"
"195","0.16373640312059398","0.16373640312059398","0.16373640312059398"
"196","0.1599252813717876","0.1599252813717876","0.1599252813717876"
"197","0.1498105982032481","0.1498105982032481","0.1498105982032481"
"198","0.14860220956378134","0.14860220956378134","0.14860220956378134"
"199","0.12562480897604225","0.12562480897604225","0.12562480897604225"
