"Step","1 new - mean_reward","1 new - mean_reward__MIN","1 new - mean_reward__MAX"
"0","0.07242673022022504","0.07242673022022504","0.07242673022022504"
"1","0.09785205176783711","0.09785205176783711","0.09785205176783711"
"2","0.12249721981355906","0.12249721981355906","0.12249721981355906"
"3","0.10324293705249755","0.10324293705249755","0.10324293705249755"
"4","0.12570101718670845","0.12570101718670845","0.12570101718670845"
"5","0.10861398155067448","0.10861398155067448","0.10861398155067448"
"6","0.13184820434203426","0.13184820434203426","0.13184820434203426"
"7","0.10336027666933205","0.10336027666933205","0.10336027666933205"
"8","0.12125719278471572","0.12125719278471572","0.12125719278471572"
"9","0.1299744248303903","0.1299744248303903","0.1299744248303903"
"10","0.0893985418665084","0.0893985418665084","0.0893985418665084"
"11","0.14327937978398494","0.14327937978398494","0.14327937978398494"
"12","0.13041682245669378","0.13041682245669378","0.13041682245669378"
"13","0.06533407865063641","0.06533407865063641","0.06533407865063641"
"14","0.10926345928658152","0.10926345928658152","0.10926345928658152"
"15","0.11267585971811689","0.11267585971811689","0.11267585971811689"
"16","0.1343482488297189","0.1343482488297189","0.1343482488297189"
"17","0.1274146247749256","0.1274146247749256","0.1274146247749256"
"18","0.13752907353879543","0.13752907353879543","0.13752907353879543"
"19","0.14475132525534404","0.14475132525534404","0.14475132525534404"
"20","0.13987085845044908","0.13987085845044908","0.13987085845044908"
"21","0.14840712090365932","0.14840712090365932","0.14840712090365932"
"22","0.1223753745104011","0.1223753745104011","0.1223753745104011"
"23","0.1663300282486847","0.1663300282486847","0.1663300282486847"
"24","0.15567668275419147","0.15567668275419147","0.15567668275419147"
"25","0.1234793822083024","0.1234793822083024","0.1234793822083024"
"26","0.1502327531991509","0.1502327531991509","0.1502327531991509"
"27","0.1392306673925341","0.1392306673925341","0.1392306673925341"
"28","0.15073945001363798","0.15073945001363798","0.15073945001363798"
"29","0.16249825687303288","0.16249825687303288","0.16249825687303288"
"30","0.12475385535014696","0.12475385535014696","0.12475385535014696"
"31","0.11964278102933643","0.11964278102933643","0.11964278102933643"
"32","0.16516777882995626","0.16516777882995626","0.16516777882995626"
"33","0.08840218210589842","0.08840218210589842","0.08840218210589842"
"34","0.10447382418005927","0.10447382418005927","0.10447382418005927"
"35","0.10266378755114186","0.10266378755114186","0.10266378755114186"
"36","0.17004380113333897","0.17004380113333897","0.17004380113333897"
"37","0.07741094292292475","0.07741094292292475","0.07741094292292475"
"38","0.1235080204178925","0.1235080204178925","0.1235080204178925"
"39","0.15152994234966316","0.15152994234966316","0.15152994234966316"
"40","0.14751462253001996","0.14751462253001996","0.14751462253001996"
"41","0.1278325058133646","0.1278325058133646","0.1278325058133646"
"42","0.13066223234603602","0.13066223234603602","0.13066223234603602"
"43","0.13558113440337688","0.13558113440337688","0.13558113440337688"
"44","0.17639931661605102","0.17639931661605102","0.17639931661605102"
"45","0.1353968325489066","0.1353968325489066","0.1353968325489066"
"46","0.1359785781928287","0.1359785781928287","0.1359785781928287"
"47","0.09878852962454855","0.09878852962454855","0.09878852962454855"
"48","0.05947589780019264","0.05947589780019264","0.05947589780019264"
"49","0.13568670405106592","0.13568670405106592","0.13568670405106592"
"50","0.1219343622992064","0.1219343622992064","0.1219343622992064"
"51","0.15559586644748435","0.15559586644748435","0.15559586644748435"
"52","0.1277913424373442","0.1277913424373442","0.1277913424373442"
"53","0.1277709714051236","0.1277709714051236","0.1277709714051236"
"54","0.1520609659992119","0.1520609659992119","0.1520609659992119"
"55","0.1281507210472006","0.1281507210472006","0.1281507210472006"
"56","0.13710919140866348","0.13710919140866348","0.13710919140866348"
"57","0.1275679172140355","0.1275679172140355","0.1275679172140355"
"58","0.14466254338235068","0.14466254338235068","0.14466254338235068"
"59","0.1800747055056721","0.1800747055056721","0.1800747055056721"
"60","0.1390887302032192","0.1390887302032192","0.1390887302032192"
"61","0.1441468265796586","0.1441468265796586","0.1441468265796586"
"62","0.12761130387128664","0.12761130387128664","0.12761130387128664"
"63","0.17265972167882798","0.17265972167882798","0.17265972167882798"
"64","0.15635747087396037","0.15635747087396037","0.15635747087396037"
"65","0.12133758937064423","0.12133758937064423","0.12133758937064423"
"66","0.11379857552855191","0.11379857552855191","0.11379857552855191"
"67","0.1542519625052998","0.1542519625052998","0.1542519625052998"
"68","0.125462584376235","0.125462584376235","0.125462584376235"
"69","0.09763041374355606","0.09763041374355606","0.09763041374355606"
"70","0.13350812244933755","0.13350812244933755","0.13350812244933755"
"71","0.12584187268044186","0.12584187268044186","0.12584187268044186"
"72","0.10129867879241733","0.10129867879241733","0.10129867879241733"
"73","0.09923059196239759","0.09923059196239759","0.09923059196239759"
"74","0.17867821516233287","0.17867821516233287","0.17867821516233287"
"75","0.11317260846443579","0.11317260846443579","0.11317260846443579"
"76","0.1283457223052486","0.1283457223052486","0.1283457223052486"
"77","0.14423650310687589","0.14423650310687589","0.14423650310687589"
"78","0.14294635232911182","0.14294635232911182","0.14294635232911182"
"79","0.13894150491039226","0.13894150491039226","0.13894150491039226"
"80","0.1448213319375347","0.1448213319375347","0.1448213319375347"
"81","0.1694221811262236","0.1694221811262236","0.1694221811262236"
"82","0.14474817538486648","0.14474817538486648","0.14474817538486648"
"83","0.15245388486493167","0.15245388486493167","0.15245388486493167"
"84","0.07977051241230712","0.07977051241230712","0.07977051241230712"
"85","0.09734831869955783","0.09734831869955783","0.09734831869955783"
"86","0.16080236263646472","0.16080236263646472","0.16080236263646472"
"87","0.15725320165282589","0.15725320165282589","0.15725320165282589"
"88","0.14381505777704726","0.14381505777704726","0.14381505777704726"
"89","0.14342782816963248","0.14342782816963248","0.14342782816963248"
"90","0.1630036411426573","0.1630036411426573","0.1630036411426573"
"91","0.16492341431475094","0.16492341431475094","0.16492341431475094"
"92","0.16430903106612998","0.16430903106612998","0.16430903106612998"
"93","0.10784202912998632","0.10784202912998632","0.10784202912998632"
"94","0.15082143420191413","0.15082143420191413","0.15082143420191413"
"95","0.145814068575884","0.145814068575884","0.145814068575884"
"96","0.1021813826972853","0.1021813826972853","0.1021813826972853"
"97","0.10155748163629696","0.10155748163629696","0.10155748163629696"
"98","0.11693940589795619","0.11693940589795619","0.11693940589795619"
"99","0.15775893492292947","0.15775893492292947","0.15775893492292947"
"100","0.173930983768979","0.173930983768979","0.173930983768979"
"101","0.11711787746115647","0.11711787746115647","0.11711787746115647"
"102","0.09007383757521627","0.09007383757521627","0.09007383757521627"
"103","0.10660340345039904","0.10660340345039904","0.10660340345039904"
"104","0.15967060347451195","0.15967060347451195","0.15967060347451195"
"105","0.1716521046955394","0.1716521046955394","0.1716521046955394"
"106","0.13018839347459654","0.13018839347459654","0.13018839347459654"
"107","0.13775886789304637","0.13775886789304637","0.13775886789304637"
"108","0.14865282769068255","0.14865282769068255","0.14865282769068255"
"109","0.11583537670714983","0.11583537670714983","0.11583537670714983"
"110","0.1814859931029946","0.1814859931029946","0.1814859931029946"
"111","0.17180230984477368","0.17180230984477368","0.17180230984477368"
"112","0.1222018682715166","0.1222018682715166","0.1222018682715166"
"113","0.13832995561931247","0.13832995561931247","0.13832995561931247"
"114","0.1534932700925682","0.1534932700925682","0.1534932700925682"
"115","0.1687741877767395","0.1687741877767395","0.1687741877767395"
"116","0.15094131134039973","0.15094131134039973","0.15094131134039973"
"117","0.14639710418357826","0.14639710418357826","0.14639710418357826"
"118","0.1598562712376145","0.1598562712376145","0.1598562712376145"
"119","0.1382652528904997","0.1382652528904997","0.1382652528904997"
"120","0.14208301243802202","0.14208301243802202","0.14208301243802202"
"121","0.16140483310146628","0.16140483310146628","0.16140483310146628"
"122","0.11700831458880405","0.11700831458880405","0.11700831458880405"
"123","0.16324505558494237","0.16324505558494237","0.16324505558494237"
"124","0.102678594870147","0.102678594870147","0.102678594870147"
"125","0.16875603765429817","0.16875603765429817","0.16875603765429817"
"126","0.13525046442569008","0.13525046442569008","0.13525046442569008"
"127","0.12295841326211564","0.12295841326211564","0.12295841326211564"
"128","0.13969734441025897","0.13969734441025897","0.13969734441025897"
"129","0.16630582595853494","0.16630582595853494","0.16630582595853494"
"130","0.14375599661890404","0.14375599661890404","0.14375599661890404"
"131","0.12472003868522541","0.12472003868522541","0.12472003868522541"
"132","0.16344609779570854","0.16344609779570854","0.16344609779570854"
"133","0.16261672239816","0.16261672239816","0.16261672239816"
"134","0.10133738318265714","0.10133738318265714","0.10133738318265714"
"135","0.13445792992960837","0.13445792992960837","0.13445792992960837"
"136","0.11941907461167234","0.11941907461167234","0.11941907461167234"
"137","0.10370894831972696","0.10370894831972696","0.10370894831972696"
"138","0.16842882668761813","0.16842882668761813","0.16842882668761813"
"139","0.13046686244204278","0.13046686244204278","0.13046686244204278"
"140","0.14986523573369578","0.14986523573369578","0.14986523573369578"
"141","0.15890207939599843","0.15890207939599843","0.15890207939599843"
"142","0.17955834485175226","0.17955834485175226","0.17955834485175226"
"143","0.13562315819579962","0.13562315819579962","0.13562315819579962"
"144","0.11852100928403761","0.11852100928403761","0.11852100928403761"
"145","0.1372108463886721","0.1372108463886721","0.1372108463886721"
"146","0.1462487881229677","0.1462487881229677","0.1462487881229677"
"147","0.15196728887546035","0.15196728887546035","0.15196728887546035"
"148","0.15886657944027027","0.15886657944027027","0.15886657944027027"
"149","0.12584378789449352","0.12584378789449352","0.12584378789449352"
"150","0.1459301508752893","0.1459301508752893","0.1459301508752893"
"151","0.14085313413131864","0.14085313413131864","0.14085313413131864"
"152","0.13529763580466672","0.13529763580466672","0.13529763580466672"
"153","0.14665270261655045","0.14665270261655045","0.14665270261655045"
"154","0.1650494163751295","0.1650494163751295","0.1650494163751295"
"155","0.13774611401609965","0.13774611401609965","0.13774611401609965"
"156","0.1662258898923989","0.1662258898923989","0.1662258898923989"
"157","0.12386656637501599","0.12386656637501599","0.12386656637501599"
"158","0.16397541932954696","0.16397541932954696","0.16397541932954696"
"159","0.14719853742839237","0.14719853742839237","0.14719853742839237"
"160","0.15442600847628155","0.15442600847628155","0.15442600847628155"
"161","0.16827083122030334","0.16827083122030334","0.16827083122030334"
"162","0.1202541770652878","0.1202541770652878","0.1202541770652878"
"163","0.18530077218039193","0.18530077218039193","0.18530077218039193"
"164","0.1499200661739346","0.1499200661739346","0.1499200661739346"
"165","0.16074056833613412","0.16074056833613412","0.16074056833613412"
"166","0.1354810919489123","0.1354810919489123","0.1354810919489123"
"167","0.13269993682478004","0.13269993682478004","0.13269993682478004"
"168","0.1317380045695002","0.1317380045695002","0.1317380045695002"
"169","0.1416643832976849","0.1416643832976849","0.1416643832976849"
"170","0.06811717522168703","0.06811717522168703","0.06811717522168703"
"171","0.14116170823881258","0.14116170823881258","0.14116170823881258"
"172","0.14374989590063642","0.14374989590063642","0.14374989590063642"
"173","0.1277882478969391","0.1277882478969391","0.1277882478969391"
"174","0.14504118949816258","0.14504118949816258","0.14504118949816258"
"175","0.1544809640853591","0.1544809640853591","0.1544809640853591"
"176","0.12998146196231558","0.12998146196231558","0.12998146196231558"
"177","0.13227766286062856","0.13227766286062856","0.13227766286062856"
"178","0.147456283838004","0.147456283838004","0.147456283838004"
"179","0.13260176879113775","0.13260176879113775","0.13260176879113775"
"180","0.11340931291319005","0.11340931291319005","0.11340931291319005"
"181","0.1535800640664385","0.1535800640664385","0.1535800640664385"
"182","0.16745884421433507","0.16745884421433507","0.16745884421433507"
"183","0.13573017110557006","0.13573017110557006","0.13573017110557006"
"184","0.11742908352949027","0.11742908352949027","0.11742908352949027"
"185","0.1212079582036526","0.1212079582036526","0.1212079582036526"
"186","0.14287098319201832","0.14287098319201832","0.14287098319201832"
"187","0.15782697529950132","0.15782697529950132","0.15782697529950132"
"188","0.11118962585476938","0.11118962585476938","0.11118962585476938"
"189","0.15947777157414067","0.15947777157414067","0.15947777157414067"
"190","0.14983562201867978","0.14983562201867978","0.14983562201867978"
"191","0.13615735598361975","0.13615735598361975","0.13615735598361975"
"192","0.12005634967603503","0.12005634967603503","0.12005634967603503"
"193","0.14248157350910018","0.14248157350910018","0.14248157350910018"
"194","0.1449648189011075","0.1449648189011075","0.1449648189011075"
"195","0.13956986806845517","0.13956986806845517","0.13956986806845517"
"196","0.18746747315033024","0.18746747315033024","0.18746747315033024"
"197","0.12686216927495877","0.12686216927495877","0.12686216927495877"
"198","0.13297143732527078","0.13297143732527078","0.13297143732527078"
"199","0.15847307337016367","0.15847307337016367","0.15847307337016367"
