"Step","ppo 0 5 5  - returns","ppo 0 5 5  - returns__MIN","ppo 0 5 5  - returns__MAX"
"0","-0.0172865092754364","-0.0172865092754364","-0.0172865092754364"
"1","-1.0141209363937378","-1.0141209363937378","-1.0141209363937378"
"2","-0.2919410467147827","-0.2919410467147827","-0.2919410467147827"
"3","0.8503201007843018","0.8503201007843018","0.8503201007843018"
"4","0.15742936730384827","0.15742936730384827","0.15742936730384827"
"5","0.590627908706665","0.590627908706665","0.590627908706665"
"6","2.2132301330566406","2.2132301330566406","2.2132301330566406"
"7","-2.010638475418091","-2.010638475418091","-2.010638475418091"
"8","0.020307302474975586","0.020307302474975586","0.020307302474975586"
"9","-2.095594644546509","-2.095594644546509","-2.095594644546509"
"10","1.185364007949829","1.185364007949829","1.185364007949829"
"11","0.6887876987457275","0.6887876987457275","0.6887876987457275"
"12","1.769289255142212","1.769289255142212","1.769289255142212"
"13","-0.7254493236541748","-0.7254493236541748","-0.7254493236541748"
"14","0.9569789171218872","0.9569789171218872","0.9569789171218872"
"15","0.14400067925453186","0.14400067925453186","0.14400067925453186"
"16","0.9035294055938721","0.9035294055938721","0.9035294055938721"
"17","0.6048203706741333","0.6048203706741333","0.6048203706741333"
"18","0.5119276642799377","0.5119276642799377","0.5119276642799377"
"19","-1.2048088312149048","-1.2048088312149048","-1.2048088312149048"
"20","-0.22047223150730133","-0.22047223150730133","-0.22047223150730133"
"21","-1.6717948913574219","-1.6717948913574219","-1.6717948913574219"
"22","1.4904706478118896","1.4904706478118896","1.4904706478118896"
"23","-1.1484063863754272","-1.1484063863754272","-1.1484063863754272"
"24","-0.4512489140033722","-0.4512489140033722","-0.4512489140033722"
"25","0.8064163327217102","0.8064163327217102","0.8064163327217102"
"26","0.13371266424655914","0.13371266424655914","0.13371266424655914"
"27","0.5145219564437866","0.5145219564437866","0.5145219564437866"
"28","-1.3253326416015625","-1.3253326416015625","-1.3253326416015625"
"29","1.231379508972168","1.231379508972168","1.231379508972168"
"30","-0.23205351829528809","-0.23205351829528809","-0.23205351829528809"
"31","-0.8200746774673462","-0.8200746774673462","-0.8200746774673462"
"32","0.7013843059539795","0.7013843059539795","0.7013843059539795"
"33","1.4838651418685913","1.4838651418685913","1.4838651418685913"
"34","1.4206101894378662","1.4206101894378662","1.4206101894378662"
"35","1.4233837127685547","1.4233837127685547","1.4233837127685547"
"36","0.20252235233783722","0.20252235233783722","0.20252235233783722"
"37","-1.3141721487045288","-1.3141721487045288","-1.3141721487045288"
"38","-0.049977898597717285","-0.049977898597717285","-0.049977898597717285"
"39","0.1983034908771515","0.1983034908771515","0.1983034908771515"
"40","0.14841705560684204","0.14841705560684204","0.14841705560684204"
"41","-0.5590364336967468","-0.5590364336967468","-0.5590364336967468"
"42","-0.10450252890586853","-0.10450252890586853","-0.10450252890586853"
"43","-0.3423921465873718","-0.3423921465873718","-0.3423921465873718"
"44","0.4328567087650299","0.4328567087650299","0.4328567087650299"
"45","0.21017633378505707","0.21017633378505707","0.21017633378505707"
"46","0.1971893310546875","0.1971893310546875","0.1971893310546875"
"47","-0.4152408838272095","-0.4152408838272095","-0.4152408838272095"
"48","-0.3668767511844635","-0.3668767511844635","-0.3668767511844635"
"49","-1.9585717916488647","-1.9585717916488647","-1.9585717916488647"
"50","-0.5354601740837097","-0.5354601740837097","-0.5354601740837097"
"51","-0.10578747093677521","-0.10578747093677521","-0.10578747093677521"
"52","0.33154532313346863","0.33154532313346863","0.33154532313346863"
"53","0.09466893970966339","0.09466893970966339","0.09466893970966339"
"54","-0.37875354290008545","-0.37875354290008545","-0.37875354290008545"
"55","0.19884808361530304","0.19884808361530304","0.19884808361530304"
"56","1.2928386926651","1.2928386926651","1.2928386926651"
"57","-0.9114521741867065","-0.9114521741867065","-0.9114521741867065"
"58","-0.5061115026473999","-0.5061115026473999","-0.5061115026473999"
"59","-0.07839193940162659","-0.07839193940162659","-0.07839193940162659"
"60","0.7478601932525635","0.7478601932525635","0.7478601932525635"
"61","-1.4615378379821777","-1.4615378379821777","-1.4615378379821777"
"62","0.625704824924469","0.625704824924469","0.625704824924469"
"63","-1.803618311882019","-1.803618311882019","-1.803618311882019"
"64","0.311199814081192","0.311199814081192","0.311199814081192"
"65","-0.7331696152687073","-0.7331696152687073","-0.7331696152687073"
"66","0.5638291835784912","0.5638291835784912","0.5638291835784912"
"67","0.6456360220909119","0.6456360220909119","0.6456360220909119"
"68","0.504871129989624","0.504871129989624","0.504871129989624"
"69","-0.37339070439338684","-0.37339070439338684","-0.37339070439338684"
"70","-0.33084091544151306","-0.33084091544151306","-0.33084091544151306"
"71","0.5594293475151062","0.5594293475151062","0.5594293475151062"
"72","1.488511562347412","1.488511562347412","1.488511562347412"
"73","-0.15410824120044708","-0.15410824120044708","-0.15410824120044708"
"74","0.5993319749832153","0.5993319749832153","0.5993319749832153"
"75","-0.21791543066501617","-0.21791543066501617","-0.21791543066501617"
"76","1.9015114307403564","1.9015114307403564","1.9015114307403564"
"77","-0.38645675778388977","-0.38645675778388977","-0.38645675778388977"
"78","1.80319344997406","1.80319344997406","1.80319344997406"
"79","1.1496589183807373","1.1496589183807373","1.1496589183807373"
"80","0.892688512802124","0.892688512802124","0.892688512802124"
"81","0.44967174530029297","0.44967174530029297","0.44967174530029297"
"82","1.6143792867660522","1.6143792867660522","1.6143792867660522"
"83","-1.482452392578125","-1.482452392578125","-1.482452392578125"
"84","0.0070976316928863525","0.0070976316928863525","0.0070976316928863525"
"85","0.8358561396598816","0.8358561396598816","0.8358561396598816"
"86","-0.02747553586959839","-0.02747553586959839","-0.02747553586959839"
"87","1.1526753902435303","1.1526753902435303","1.1526753902435303"
"88","1.275606393814087","1.275606393814087","1.275606393814087"
"89","0.7777625322341919","0.7777625322341919","0.7777625322341919"
"90","0.01980426535010338","0.01980426535010338","0.01980426535010338"
"91","-0.013148821890354156","-0.013148821890354156","-0.013148821890354156"
"92","0.6715134978294373","0.6715134978294373","0.6715134978294373"
"93","-0.7331445813179016","-0.7331445813179016","-0.7331445813179016"
"94","0.9130632877349854","0.9130632877349854","0.9130632877349854"
"95","0.9562311768531799","0.9562311768531799","0.9562311768531799"
"96","0.3380219340324402","0.3380219340324402","0.3380219340324402"
"97","0.6698621511459351","0.6698621511459351","0.6698621511459351"
