"Step","ppo 1 5 5 - returns","ppo 1 5 5 - returns__MIN","ppo 1 5 5 - returns__MAX"
"0","0.14313094317913055","0.14313094317913055","0.14313094317913055"
"1","-0.6706541776657104","-0.6706541776657104","-0.6706541776657104"
"2","0.01430085301399231","0.01430085301399231","0.01430085301399231"
"3","1.206218957901001","1.206218957901001","1.206218957901001"
"4","0.7804057002067566","0.7804057002067566","0.7804057002067566"
"5","0.12310747802257538","0.12310747802257538","0.12310747802257538"
"6","1.3864737749099731","1.3864737749099731","1.3864737749099731"
"7","-2.2646477222442627","-2.2646477222442627","-2.2646477222442627"
"8","-0.9070632457733154","-0.9070632457733154","-0.9070632457733154"
"9","-1.4810303449630737","-1.4810303449630737","-1.4810303449630737"
"10","1.305116057395935","1.305116057395935","1.305116057395935"
"11","-0.16590936481952667","-0.16590936481952667","-0.16590936481952667"
"12","0.8065250515937805","0.8065250515937805","0.8065250515937805"
"13","-1.078441858291626","-1.078441858291626","-1.078441858291626"
"14","-0.4210313558578491","-0.4210313558578491","-0.4210313558578491"
"15","0.9292116761207581","0.9292116761207581","0.9292116761207581"
"16","0.46935150027275085","0.46935150027275085","0.46935150027275085"
"17","0.4875204563140869","0.4875204563140869","0.4875204563140869"
"18","0.5107657313346863","0.5107657313346863","0.5107657313346863"
"19","-1.1183135509490967","-1.1183135509490967","-1.1183135509490967"
"20","0.5391483306884766","0.5391483306884766","0.5391483306884766"
"21","-1.0782345533370972","-1.0782345533370972","-1.0782345533370972"
"22","0.5556557178497314","0.5556557178497314","0.5556557178497314"
"23","-0.050678551197052","-0.050678551197052","-0.050678551197052"
"24","-0.6241174340248108","-0.6241174340248108","-0.6241174340248108"
"25","0.37241601943969727","0.37241601943969727","0.37241601943969727"
"26","-0.37466520071029663","-0.37466520071029663","-0.37466520071029663"
"27","0.6694049835205078","0.6694049835205078","0.6694049835205078"
"28","-1.47651207447052","-1.47651207447052","-1.47651207447052"
"29","1.8597848415374756","1.8597848415374756","1.8597848415374756"
"30","0.23314030468463898","0.23314030468463898","0.23314030468463898"
"31","-0.47436779737472534","-0.47436779737472534","-0.47436779737472534"
"32","0.7128307819366455","0.7128307819366455","0.7128307819366455"
"33","-0.2128877341747284","-0.2128877341747284","-0.2128877341747284"
"34","0.7613191604614258","0.7613191604614258","0.7613191604614258"
"35","1.230242371559143","1.230242371559143","1.230242371559143"
"36","-0.11036601662635803","-0.11036601662635803","-0.11036601662635803"
"37","-1.0278574228286743","-1.0278574228286743","-1.0278574228286743"
"38","0.016818039119243622","0.016818039119243622","0.016818039119243622"
"39","0.011769101023674011","0.011769101023674011","0.011769101023674011"
"40","0.6659915447235107","0.6659915447235107","0.6659915447235107"
"41","-0.3930794894695282","-0.3930794894695282","-0.3930794894695282"
"42","-1.1213246583938599","-1.1213246583938599","-1.1213246583938599"
"43","-1.5131919384002686","-1.5131919384002686","-1.5131919384002686"
"44","1.0895135402679443","1.0895135402679443","1.0895135402679443"
"45","-0.9369189143180847","-0.9369189143180847","-0.9369189143180847"
"46","0.7551804780960083","0.7551804780960083","0.7551804780960083"
"47","0.3288033604621887","0.3288033604621887","0.3288033604621887"
"48","0.2534218728542328","0.2534218728542328","0.2534218728542328"
"49","-0.9325074553489685","-0.9325074553489685","-0.9325074553489685"
"50","0.07779599726200104","0.07779599726200104","0.07779599726200104"
"51","-0.2715780735015869","-0.2715780735015869","-0.2715780735015869"
"52","0.3558596670627594","0.3558596670627594","0.3558596670627594"
"53","0.6536213755607605","0.6536213755607605","0.6536213755607605"
"54","-0.5465516448020935","-0.5465516448020935","-0.5465516448020935"
"55","0.7863014936447144","0.7863014936447144","0.7863014936447144"
"56","0.8263193368911743","0.8263193368911743","0.8263193368911743"
"57","-1.0968985557556152","-1.0968985557556152","-1.0968985557556152"
"58","-1.1640758514404297","-1.1640758514404297","-1.1640758514404297"
"59","-0.45149075984954834","-0.45149075984954834","-0.45149075984954834"
"60","1.1857349872589111","1.1857349872589111","1.1857349872589111"
"61","-0.9588529467582703","-0.9588529467582703","-0.9588529467582703"
"62","-0.692457377910614","-0.692457377910614","-0.692457377910614"
"63","-1.2505691051483154","-1.2505691051483154","-1.2505691051483154"
"64","0.9511575698852539","0.9511575698852539","0.9511575698852539"
"65","-0.6511651277542114","-0.6511651277542114","-0.6511651277542114"
"66","0.02251581847667694","0.02251581847667694","0.02251581847667694"
"67","0.9653372764587402","0.9653372764587402","0.9653372764587402"
"68","-0.30158185958862305","-0.30158185958862305","-0.30158185958862305"
"69","-0.3692153990268707","-0.3692153990268707","-0.3692153990268707"
"70","-1.2440528869628906","-1.2440528869628906","-1.2440528869628906"
"71","-0.890974223613739","-0.890974223613739","-0.890974223613739"
"72","1.2623155117034912","1.2623155117034912","1.2623155117034912"
"73","0.27307283878326416","0.27307283878326416","0.27307283878326416"
"74","0.6147424578666687","0.6147424578666687","0.6147424578666687"
"75","0.4367980360984802","0.4367980360984802","0.4367980360984802"
"76","0.2029179036617279","0.2029179036617279","0.2029179036617279"
"77","-0.01730387657880783","-0.01730387657880783","-0.01730387657880783"
"78","0.6310303211212158","0.6310303211212158","0.6310303211212158"
"79","1.4325169324874878","1.4325169324874878","1.4325169324874878"
"80","1.033407211303711","1.033407211303711","1.033407211303711"
"81","-0.18356561660766602","-0.18356561660766602","-0.18356561660766602"
"82","0.5944288372993469","0.5944288372993469","0.5944288372993469"
"83","-1.7413263320922852","-1.7413263320922852","-1.7413263320922852"
"84","0.3938164710998535","0.3938164710998535","0.3938164710998535"
"85","0.6632271409034729","0.6632271409034729","0.6632271409034729"
"86","1.1935774087905884","1.1935774087905884","1.1935774087905884"
"87","1.014026403427124","1.014026403427124","1.014026403427124"
"88","0.8106916546821594","0.8106916546821594","0.8106916546821594"
"89","0.20864564180374146","0.20864564180374146","0.20864564180374146"
"90","0.39920517802238464","0.39920517802238464","0.39920517802238464"
"91","0.49536773562431335","0.49536773562431335","0.49536773562431335"
"92","0.06503909081220627","0.06503909081220627","0.06503909081220627"
"93","-1.0758585929870605","-1.0758585929870605","-1.0758585929870605"
"94","1.3354363441467285","1.3354363441467285","1.3354363441467285"
"95","0.030652053654193878","0.030652053654193878","0.030652053654193878"
"96","0.5044233798980713","0.5044233798980713","0.5044233798980713"
"97","0.9364740252494812","0.9364740252494812","0.9364740252494812"
"98","-0.21569329500198364","-0.21569329500198364","-0.21569329500198364"
"99","0.23853370547294617","0.23853370547294617","0.23853370547294617"
"100","-0.8483527302742004","-0.8483527302742004","-0.8483527302742004"
"101","1.0268456935882568","1.0268456935882568","1.0268456935882568"
"102","0.1211775541305542","0.1211775541305542","0.1211775541305542"
"103","0.030255526304244995","0.030255526304244995","0.030255526304244995"
"104","0.20170018076896667","0.20170018076896667","0.20170018076896667"
"105","0.7148719429969788","0.7148719429969788","0.7148719429969788"
"106","1.2129244804382324","1.2129244804382324","1.2129244804382324"
"107","1.5354331731796265","1.5354331731796265","1.5354331731796265"
"108","1.2163718938827515","1.2163718938827515","1.2163718938827515"
"109","0.8289667367935181","0.8289667367935181","0.8289667367935181"
"110","1.271638035774231","1.271638035774231","1.271638035774231"
"111","0.1716616153717041","0.1716616153717041","0.1716616153717041"
"112","0.7555378079414368","0.7555378079414368","0.7555378079414368"
"113","2.5737152099609375","2.5737152099609375","2.5737152099609375"
"114","0.934743344783783","0.934743344783783","0.934743344783783"
"115","1.6089006662368774","1.6089006662368774","1.6089006662368774"
"116","1.199683427810669","1.199683427810669","1.199683427810669"
"117","2.7648327350616455","2.7648327350616455","2.7648327350616455"
"118","0.8202773332595825","0.8202773332595825","0.8202773332595825"
"119","0.1999301165342331","0.1999301165342331","0.1999301165342331"
"120","0.8361566662788391","0.8361566662788391","0.8361566662788391"
"121","2.302652597427368","2.302652597427368","2.302652597427368"
"122","0.476611465215683","0.476611465215683","0.476611465215683"
"123","1.8788508176803589","1.8788508176803589","1.8788508176803589"
"124","1.537906289100647","1.537906289100647","1.537906289100647"
"125","0.5565109252929688","0.5565109252929688","0.5565109252929688"
"126","1.213010311126709","1.213010311126709","1.213010311126709"
"127","1.5823585987091064","1.5823585987091064","1.5823585987091064"
"128","0.8333475589752197","0.8333475589752197","0.8333475589752197"
"129","1.719987392425537","1.719987392425537","1.719987392425537"
"130","0.49887871742248535","0.49887871742248535","0.49887871742248535"
"131","1.9468562602996826","1.9468562602996826","1.9468562602996826"
"132","1.7559564113616943","1.7559564113616943","1.7559564113616943"
"133","0.5958436727523804","0.5958436727523804","0.5958436727523804"
"134","2.284437417984009","2.284437417984009","2.284437417984009"
"135","1.092175841331482","1.092175841331482","1.092175841331482"
"136","2.0218698978424072","2.0218698978424072","2.0218698978424072"
"137","1.2391047477722168","1.2391047477722168","1.2391047477722168"
"138","0.8675767183303833","0.8675767183303833","0.8675767183303833"
"139","0.9916834831237793","0.9916834831237793","0.9916834831237793"
"140","2.151805877685547","2.151805877685547","2.151805877685547"
"141","2.403052568435669","2.403052568435669","2.403052568435669"
"142","-0.06229522451758385","-0.06229522451758385","-0.06229522451758385"
"143","1.6483469009399414","1.6483469009399414","1.6483469009399414"
"144","2.1779143810272217","2.1779143810272217","2.1779143810272217"
"145","1.2635653018951416","1.2635653018951416","1.2635653018951416"
"146","0.21493740379810333","0.21493740379810333","0.21493740379810333"
"147","2.594017505645752","2.594017505645752","2.594017505645752"
"148","1.2785927057266235","1.2785927057266235","1.2785927057266235"
