"Step","0 5 5 - returns","0 5 5 - returns__MIN","0 5 5 - returns__MAX"
"0","-0.9306433796882629","-0.9306433796882629","-0.9306433796882629"
"1","0.3929816484451294","0.3929816484451294","0.3929816484451294"
"2","-0.40687793493270874","-0.40687793493270874","-0.40687793493270874"
"3","-0.357371062040329","-0.357371062040329","-0.357371062040329"
"4","0.7409834861755371","0.7409834861755371","0.7409834861755371"
"5","-0.723688006401062","-0.723688006401062","-0.723688006401062"
"6","2.1842331886291504","2.1842331886291504","2.1842331886291504"
"7","-0.5090179443359375","-0.5090179443359375","-0.5090179443359375"
"8","0.08163584023714066","0.08163584023714066","0.08163584023714066"
"9","-1.504848599433899","-1.504848599433899","-1.504848599433899"
"10","0.9391801357269287","0.9391801357269287","0.9391801357269287"
"11","-0.4314877986907959","-0.4314877986907959","-0.4314877986907959"
"12","0.6662750840187073","0.6662750840187073","0.6662750840187073"
"13","0.07366073131561279","0.07366073131561279","0.07366073131561279"
"14","0.4232281446456909","0.4232281446456909","0.4232281446456909"
"15","0.5545120239257812","0.5545120239257812","0.5545120239257812"
"16","0.6170472502708435","0.6170472502708435","0.6170472502708435"
"17","-0.46842992305755615","-0.46842992305755615","-0.46842992305755615"
"18","2.357884645462036","2.357884645462036","2.357884645462036"
"19","-1.5155150890350342","-1.5155150890350342","-1.5155150890350342"
"20","-0.6642815470695496","-0.6642815470695496","-0.6642815470695496"
"21","-0.9603630304336548","-0.9603630304336548","-0.9603630304336548"
"22","-0.7837488055229187","-0.7837488055229187","-0.7837488055229187"
"23","0.3761924207210541","0.3761924207210541","0.3761924207210541"
"24","-0.14888405799865723","-0.14888405799865723","-0.14888405799865723"
"25","0.9624555110931396","0.9624555110931396","0.9624555110931396"
"26","0.289033979177475","0.289033979177475","0.289033979177475"
"27","-0.8478137850761414","-0.8478137850761414","-0.8478137850761414"
"28","0.3109595775604248","0.3109595775604248","0.3109595775604248"
"29","-0.3029409646987915","-0.3029409646987915","-0.3029409646987915"
"30","0.2948192059993744","0.2948192059993744","0.2948192059993744"
"31","-1.8200771808624268","-1.8200771808624268","-1.8200771808624268"
"32","0.010492723435163498","0.010492723435163498","0.010492723435163498"
"33","-0.7646695375442505","-0.7646695375442505","-0.7646695375442505"
"34","1.3021025657653809","1.3021025657653809","1.3021025657653809"
"35","1.6858999729156494","1.6858999729156494","1.6858999729156494"
"36","0.22766166925430298","0.22766166925430298","0.22766166925430298"
"37","-0.3851693868637085","-0.3851693868637085","-0.3851693868637085"
"38","-0.7078564763069153","-0.7078564763069153","-0.7078564763069153"
"39","0.4475274085998535","0.4475274085998535","0.4475274085998535"
"40","0.30378568172454834","0.30378568172454834","0.30378568172454834"
"41","-0.12794175744056702","-0.12794175744056702","-0.12794175744056702"
"42","-1.221177339553833","-1.221177339553833","-1.221177339553833"
"43","0.15147317945957184","0.15147317945957184","0.15147317945957184"
"44","0.23636797070503235","0.23636797070503235","0.23636797070503235"
"45","0.08048434555530548","0.08048434555530548","0.08048434555530548"
"46","0.2981012761592865","0.2981012761592865","0.2981012761592865"
"47","0.15731871128082275","0.15731871128082275","0.15731871128082275"
"48","0.21996015310287476","0.21996015310287476","0.21996015310287476"
"49","-0.2651810050010681","-0.2651810050010681","-0.2651810050010681"
"50","0.7625552415847778","0.7625552415847778","0.7625552415847778"
"51","0.33519652485847473","0.33519652485847473","0.33519652485847473"
"52","0.48070263862609863","0.48070263862609863","0.48070263862609863"
"53","0.5454516410827637","0.5454516410827637","0.5454516410827637"
"54","-1.7401670217514038","-1.7401670217514038","-1.7401670217514038"
"55","0.4420257806777954","0.4420257806777954","0.4420257806777954"
"56","0.6317481994628906","0.6317481994628906","0.6317481994628906"
"57","0.24955815076828003","0.24955815076828003","0.24955815076828003"
"58","-1.0658811330795288","-1.0658811330795288","-1.0658811330795288"
"59","-1.6087827682495117","-1.6087827682495117","-1.6087827682495117"
"60","1.1383875608444214","1.1383875608444214","1.1383875608444214"
"61","-0.8062055110931396","-0.8062055110931396","-0.8062055110931396"
"62","-0.18749529123306274","-0.18749529123306274","-0.18749529123306274"
"63","-3.0448482036590576","-3.0448482036590576","-3.0448482036590576"
"64","0.8643728494644165","0.8643728494644165","0.8643728494644165"
"65","-0.6893630027770996","-0.6893630027770996","-0.6893630027770996"
"66","-0.8597864508628845","-0.8597864508628845","-0.8597864508628845"
"67","0.4995971620082855","0.4995971620082855","0.4995971620082855"
"68","0.9806364178657532","0.9806364178657532","0.9806364178657532"
"69","-0.8881520628929138","-0.8881520628929138","-0.8881520628929138"
"70","-0.608890175819397","-0.608890175819397","-0.608890175819397"
"71","-0.5519589781761169","-0.5519589781761169","-0.5519589781761169"
"72","1.1636048555374146","1.1636048555374146","1.1636048555374146"
"73","-1.4572515487670898","-1.4572515487670898","-1.4572515487670898"
"74","-1.2127920389175415","-1.2127920389175415","-1.2127920389175415"
"75","-1.3703439235687256","-1.3703439235687256","-1.3703439235687256"
"76","1.3810917139053345","1.3810917139053345","1.3810917139053345"
"77","-0.4236902594566345","-0.4236902594566345","-0.4236902594566345"
"78","1.6717251539230347","1.6717251539230347","1.6717251539230347"
"79","0.5565587282180786","0.5565587282180786","0.5565587282180786"
"80","1.734110951423645","1.734110951423645","1.734110951423645"
"81","-0.3244892954826355","-0.3244892954826355","-0.3244892954826355"
