"Step","avg 5 5 - returns","avg 5 5 - returns__MIN","avg 5 5 - returns__MAX"
"0","-0.6765812635421753","-0.6765812635421753","-0.6765812635421753"
"1","1.6370477676391602","1.6370477676391602","1.6370477676391602"
"2","-0.6566430330276489","-0.6566430330276489","-0.6566430330276489"
"3","0.26060497760772705","0.26060497760772705","0.26060497760772705"
"4","0.3055216073989868","0.3055216073989868","0.3055216073989868"
"5","0.4234407842159271","0.4234407842159271","0.4234407842159271"
"6","0.45453256368637085","0.45453256368637085","0.45453256368637085"
"7","-0.07263931632041931","-0.07263931632041931","-0.07263931632041931"
"8","1.0487266778945923","1.0487266778945923","1.0487266778945923"
"9","-0.05890536308288574","-0.05890536308288574","-0.05890536308288574"
"10","0.7562532424926758","0.7562532424926758","0.7562532424926758"
"11","-0.23764321208000183","-0.23764321208000183","-0.23764321208000183"
"12","0.27719801664352417","0.27719801664352417","0.27719801664352417"
"13","1.475099802017212","1.475099802017212","1.475099802017212"
"14","-0.022916465997695923","-0.022916465997695923","-0.022916465997695923"
"15","0.9310752153396606","0.9310752153396606","0.9310752153396606"
"16","0.9366334080696106","0.9366334080696106","0.9366334080696106"
"17","-0.07219935953617096","-0.07219935953617096","-0.07219935953617096"
"18","-0.8540583848953247","-0.8540583848953247","-0.8540583848953247"
"19","-0.16205203533172607","-0.16205203533172607","-0.16205203533172607"
"20","-0.03413233160972595","-0.03413233160972595","-0.03413233160972595"
"21","-1.3557415008544922","-1.3557415008544922","-1.3557415008544922"
"22","0.6183907389640808","0.6183907389640808","0.6183907389640808"
"23","-1.1839735507965088","-1.1839735507965088","-1.1839735507965088"
"24","0.22109252214431763","0.22109252214431763","0.22109252214431763"
"25","1.459099531173706","1.459099531173706","1.459099531173706"
"26","0.032182592898607254","0.032182592898607254","0.032182592898607254"
"27","0.21417652070522308","0.21417652070522308","0.21417652070522308"
"28","1.6150121688842773","1.6150121688842773","1.6150121688842773"
"29","-0.12321745604276657","-0.12321745604276657","-0.12321745604276657"
"30","-0.9208272695541382","-0.9208272695541382","-0.9208272695541382"
"31","-1.323824405670166","-1.323824405670166","-1.323824405670166"
"32","0.28477951884269714","0.28477951884269714","0.28477951884269714"
"33","-0.0768299326300621","-0.0768299326300621","-0.0768299326300621"
"34","1.3920776844024658","1.3920776844024658","1.3920776844024658"
"35","1.5194333791732788","1.5194333791732788","1.5194333791732788"
"36","1.513569712638855","1.513569712638855","1.513569712638855"
"37","-0.9062701463699341","-0.9062701463699341","-0.9062701463699341"
"38","-0.39831793308258057","-0.39831793308258057","-0.39831793308258057"
"39","0.3428246080875397","0.3428246080875397","0.3428246080875397"
"40","-0.3957412838935852","-0.3957412838935852","-0.3957412838935852"
"41","-0.5587810277938843","-0.5587810277938843","-0.5587810277938843"
"42","-1.4700398445129395","-1.4700398445129395","-1.4700398445129395"
"43","-0.17403873801231384","-0.17403873801231384","-0.17403873801231384"
"44","0.5880603790283203","0.5880603790283203","0.5880603790283203"
