"Step","greedy - price","greedy - price__MIN","greedy - price__MAX"
"0","0.3147493489056768","0.3147493489056768","0.3147493489056768"
"1","0.15581657816369351","0.15581657816369351","0.15581657816369351"
"2","0.23621590318652202","0.23621590318652202","0.23621590318652202"
"3","0.1739838257563467","0.1739838257563467","0.1739838257563467"
"4","0.27229595531768447","0.27229595531768447","0.27229595531768447"
"5","0.35766482518179976","0.35766482518179976","0.35766482518179976"
"6","0.3613774127175639","0.3613774127175639","0.3613774127175639"
"7","0.38876572024237926","0.38876572024237926","0.38876572024237926"
"8","0.23356314959933702","0.23356314959933702","0.23356314959933702"
"9","0.26700962412901175","0.26700962412901175","0.26700962412901175"
"10","0.30946355243121676","0.30946355243121676","0.30946355243121676"
"11","0.23216365675840073","0.23216365675840073","0.23216365675840073"
"12","0.2857205356378928","0.2857205356378928","0.2857205356378928"
"13","0.31778207205312664","0.31778207205312664","0.31778207205312664"
"14","0.24725811279297372","0.24725811279297372","0.24725811279297372"
"15","0.3073774999149615","0.3073774999149615","0.3073774999149615"
"16","0.18579923991024835","0.18579923991024835","0.18579923991024835"
"17","0.35762024889204574","0.35762024889204574","0.35762024889204574"
"18","0.26244595149058597","0.26244595149058597","0.26244595149058597"
"19","0.2641188528555262","0.2641188528555262","0.2641188528555262"
"20","0.2592025710612275","0.2592025710612275","0.2592025710612275"
"21","0.3443885451763875","0.3443885451763875","0.3443885451763875"
"22","0.18108689879452325","0.18108689879452325","0.18108689879452325"
"23","0.20200110689898532","0.20200110689898532","0.20200110689898532"
"24","0.2316132863735183","0.2316132863735183","0.2316132863735183"
"25","0.25705126353330865","0.25705126353330865","0.25705126353330865"
"26","0.3132987772929597","0.3132987772929597","0.3132987772929597"
"27","0.17521647907780058","0.17521647907780058","0.17521647907780058"
"28","0.19465478424558996","0.19465478424558996","0.19465478424558996"
"29","0.297208931988949","0.297208931988949","0.297208931988949"
"30","0.25969061085344064","0.25969061085344064","0.25969061085344064"
"31","0.2620636479513286","0.2620636479513286","0.2620636479513286"
"32","0.3545796766431836","0.3545796766431836","0.3545796766431836"
"33","0.27837446137091115","0.27837446137091115","0.27837446137091115"
"34","0.28279932203669145","0.28279932203669145","0.28279932203669145"
"35","0.1771335303443925","0.1771335303443925","0.1771335303443925"
"36","0.16557488938460269","0.16557488938460269","0.16557488938460269"
"37","0.28098278597545157","0.28098278597545157","0.28098278597545157"
"38","0.18792739632829505","0.18792739632829505","0.18792739632829505"
"39","0.19880657174898445","0.19880657174898445","0.19880657174898445"
"40","0.203490770133395","0.203490770133395","0.203490770133395"
"41","0.24709514651060507","0.24709514651060507","0.24709514651060507"
"42","0.23861159869415946","0.23861159869415946","0.23861159869415946"
"43","0.17006762592560037","0.17006762592560037","0.17006762592560037"
"44","0.22018757669966452","0.22018757669966452","0.22018757669966452"
"45","0.2528680601030308","0.2528680601030308","0.2528680601030308"
"46","0.21151232981921989","0.21151232981921989","0.21151232981921989"
"47","0.3256449019361415","0.3256449019361415","0.3256449019361415"
"48","0.38041934302574537","0.38041934302574537","0.38041934302574537"
"49","0.23955274696142206","0.23955274696142206","0.23955274696142206"
"50","0.35437196750570915","0.35437196750570915","0.35437196750570915"
"51","0.3096699674857978","0.3096699674857978","0.3096699674857978"
"52","0.2589514488990056","0.2589514488990056","0.2589514488990056"
"53","0.3130527364630093","0.3130527364630093","0.3130527364630093"
"54","0.328769397653922","0.328769397653922","0.328769397653922"
"55","0.2841188267472469","0.2841188267472469","0.2841188267472469"
"56","0.3344784415435455","0.3344784415435455","0.3344784415435455"
"57","0.31883093051535233","0.31883093051535233","0.31883093051535233"
"58","0.34581522421600935","0.34581522421600935","0.34581522421600935"
"59","0.39373410499634404","0.39373410499634404","0.39373410499634404"
"60","0.2687642443889965","0.2687642443889965","0.2687642443889965"
"61","0.2844131272756077","0.2844131272756077","0.2844131272756077"
"62","0.26279785888097507","0.26279785888097507","0.26279785888097507"
"63","0.27317521437990827","0.27317521437990827","0.27317521437990827"
"64","0.2584848620503254","0.2584848620503254","0.2584848620503254"
"65","0.3576030556585224","0.3576030556585224","0.3576030556585224"
"66","0.31705662916422955","0.31705662916422955","0.31705662916422955"
"67","0.1731398826465588","0.1731398826465588","0.1731398826465588"
"68","0.34079492551464113","0.34079492551464113","0.34079492551464113"
"69","0.3041002000307718","0.3041002000307718","0.3041002000307718"
"70","0.3558352312984641","0.3558352312984641","0.3558352312984641"
"71","0.23640735056225112","0.23640735056225112","0.23640735056225112"
"72","0.33413015792106077","0.33413015792106077","0.33413015792106077"
"73","0.25444048492939947","0.25444048492939947","0.25444048492939947"
"74","0.36502354866112785","0.36502354866112785","0.36502354866112785"
"75","0.3322374475001921","0.3322374475001921","0.3322374475001921"
"76","0.20025684160376758","0.20025684160376758","0.20025684160376758"
"77","0.24557558212801125","0.24557558212801125","0.24557558212801125"
"78","0.42317074948724914","0.42317074948724914","0.42317074948724914"
"79","0.24339136379378656","0.24339136379378656","0.24339136379378656"
"80","0.2338460447657198","0.2338460447657198","0.2338460447657198"
"81","0.2876242488088559","0.2876242488088559","0.2876242488088559"
"82","0.24135816179839695","0.24135816179839695","0.24135816179839695"
"83","0.35077514817527916","0.35077514817527916","0.35077514817527916"
"84","0.2693560922051156","0.2693560922051156","0.2693560922051156"
"85","0.33877336242177586","0.33877336242177586","0.33877336242177586"
"86","0.2667815166471054","0.2667815166471054","0.2667815166471054"
"87","0.29412637982026985","0.29412637982026985","0.29412637982026985"
"88","0.2815134243375432","0.2815134243375432","0.2815134243375432"
"89","0.3338127436099786","0.3338127436099786","0.3338127436099786"
"90","0.3565471599569652","0.3565471599569652","0.3565471599569652"
"91","0.2604628470470903","0.2604628470470903","0.2604628470470903"
"92","0.33601474835667083","0.33601474835667083","0.33601474835667083"
