"Step","1 new - price","1 new - price__MIN","1 new - price__MAX"
"0","0.3707589649109918","0.3707589649109918","0.3707589649109918"
"1","0.31223923501401407","0.31223923501401407","0.31223923501401407"
"2","0.24616731234822398","0.24616731234822398","0.24616731234822398"
"3","0.29687655916420386","0.29687655916420386","0.29687655916420386"
"4","0.2455615187764733","0.2455615187764733","0.2455615187764733"
"5","0.22548583714699483","0.22548583714699483","0.22548583714699483"
"6","0.222345013397158","0.222345013397158","0.222345013397158"
"7","0.2676180644398329","0.2676180644398329","0.2676180644398329"
"8","0.2647015438929389","0.2647015438929389","0.2647015438929389"
"9","0.2816910392103337","0.2816910392103337","0.2816910392103337"
"10","0.22850764109295435","0.22850764109295435","0.22850764109295435"
"11","0.21861197011747444","0.21861197011747444","0.21861197011747444"
"12","0.2247969136012937","0.2247969136012937","0.2247969136012937"
"13","0.2035395750861217","0.2035395750861217","0.2035395750861217"
"14","0.241166190971984","0.241166190971984","0.241166190971984"
"15","0.21799471244259086","0.21799471244259086","0.21799471244259086"
"16","0.1583414319701994","0.1583414319701994","0.1583414319701994"
"17","0.22034375468759243","0.22034375468759243","0.22034375468759243"
"18","0.1319722006778697","0.1319722006778697","0.1319722006778697"
"19","0.1675451982791818","0.1675451982791818","0.1675451982791818"
"20","0.17385672923632745","0.17385672923632745","0.17385672923632745"
"21","0.1606872339890251","0.1606872339890251","0.1606872339890251"
"22","0.19909460931282227","0.19909460931282227","0.19909460931282227"
"23","0.1949587573198045","0.1949587573198045","0.1949587573198045"
"24","0.17325834981404312","0.17325834981404312","0.17325834981404312"
"25","0.18418423329166847","0.18418423329166847","0.18418423329166847"
"26","0.16564768615694755","0.16564768615694755","0.16564768615694755"
"27","0.1383270990621706","0.1383270990621706","0.1383270990621706"
"28","0.15783706506019843","0.15783706506019843","0.15783706506019843"
"29","0.17344415642754948","0.17344415642754948","0.17344415642754948"
"30","0.17936860520688588","0.17936860520688588","0.17936860520688588"
"31","0.14072797297362447","0.14072797297362447","0.14072797297362447"
"32","0.1576725679053563","0.1576725679053563","0.1576725679053563"
