"Step","1 - price","1 - price__MIN","1 - price__MAX"
"0","0.4100795463095054","0.4100795463095054","0.4100795463095054"
"1","0.3282798262160181","0.3282798262160181","0.3282798262160181"
"2","0.3514688768434426","0.3514688768434426","0.3514688768434426"
"3","0.3698692748368234","0.3698692748368234","0.3698692748368234"
"4","0.3015014006846866","0.3015014006846866","0.3015014006846866"
"5","0.25758382319255746","0.25758382319255746","0.25758382319255746"
"6","0.3540342590582078","0.3540342590582078","0.3540342590582078"
"7","0.39049027092369465","0.39049027092369465","0.39049027092369465"
"8","0.3281537939970974","0.3281537939970974","0.3281537939970974"
"9","0.3420015185691495","0.3420015185691495","0.3420015185691495"
"10","0.3100058361782022","0.3100058361782022","0.3100058361782022"
"11","0.311465133445754","0.311465133445754","0.311465133445754"
"12","0.3284615475866139","0.3284615475866139","0.3284615475866139"
"13","0.29209891932232757","0.29209891932232757","0.29209891932232757"
"14","0.3380135413670503","0.3380135413670503","0.3380135413670503"
"15","0.3075881085163209","0.3075881085163209","0.3075881085163209"
"16","0.2869370170501159","0.2869370170501159","0.2869370170501159"
"17","0.36065784715812066","0.36065784715812066","0.36065784715812066"
"18","0.2958210949313854","0.2958210949313854","0.2958210949313854"
"19","0.28483733261524313","0.28483733261524313","0.28483733261524313"
"20","0.31571630092578445","0.31571630092578445","0.31571630092578445"
"21","0.29660886483993204","0.29660886483993204","0.29660886483993204"
"22","0.2986531884886835","0.2986531884886835","0.2986531884886835"
"23","0.3052071296229066","0.3052071296229066","0.3052071296229066"
"24","0.2598199685707398","0.2598199685707398","0.2598199685707398"
"25","0.2882647666492661","0.2882647666492661","0.2882647666492661"
"26","0.24043931329753804","0.24043931329753804","0.24043931329753804"
"27","0.28891268770228473","0.28891268770228473","0.28891268770228473"
"28","0.2694698269753179","0.2694698269753179","0.2694698269753179"
"29","0.28526078471822924","0.28526078471822924","0.28526078471822924"
"30","0.30571914276051326","0.30571914276051326","0.30571914276051326"
"31","0.2502177399825563","0.2502177399825563","0.2502177399825563"
"32","0.32646426916851384","0.32646426916851384","0.32646426916851384"
"33","0.32533298943224914","0.32533298943224914","0.32533298943224914"
"34","0.286128541395544","0.286128541395544","0.286128541395544"
"35","0.24228116205230246","0.24228116205230246","0.24228116205230246"
"36","0.31503152878117274","0.31503152878117274","0.31503152878117274"
"37","0.2601453453387439","0.2601453453387439","0.2601453453387439"
"38","0.30177595231457127","0.30177595231457127","0.30177595231457127"
"39","0.27153080474434105","0.27153080474434105","0.27153080474434105"
"40","0.3052058057407938","0.3052058057407938","0.3052058057407938"
"41","0.325850085958469","0.325850085958469","0.325850085958469"
"42","0.22887215385948934","0.22887215385948934","0.22887215385948934"
"43","0.31329973438474545","0.31329973438474545","0.31329973438474545"
"44","0.3247683060580437","0.3247683060580437","0.3247683060580437"
"45","0.23925014029882619","0.23925014029882619","0.23925014029882619"
"46","0.2831557557704147","0.2831557557704147","0.2831557557704147"
"47","0.23327100518107527","0.23327100518107527","0.23327100518107527"
"48","0.27443428924593016","0.27443428924593016","0.27443428924593016"
"49","0.3240816137232867","0.3240816137232867","0.3240816137232867"
"50","0.22566426781026647","0.22566426781026647","0.22566426781026647"
"51","0.2623511544799413","0.2623511544799413","0.2623511544799413"
"52","0.22840305241199554","0.22840305241199554","0.22840305241199554"
"53","0.23894736403339387","0.23894736403339387","0.23894736403339387"
"54","0.25405992432742625","0.25405992432742625","0.25405992432742625"
"55","0.24571103334326916","0.24571103334326916","0.24571103334326916"
"56","0.275057947932067","0.275057947932067","0.275057947932067"
"57","0.22755545889802806","0.22755545889802806","0.22755545889802806"
"58","0.2381550869260069","0.2381550869260069","0.2381550869260069"
"59","0.2673397759781095","0.2673397759781095","0.2673397759781095"
"60","0.25016421025305124","0.25016421025305124","0.25016421025305124"
"61","0.2819009557039653","0.2819009557039653","0.2819009557039653"
"62","0.21656401185290028","0.21656401185290028","0.21656401185290028"
"63","0.24166011960984507","0.24166011960984507","0.24166011960984507"
