"Step","0 5 5 - mean_reward","0 5 5 - mean_reward__MIN","0 5 5 - mean_reward__MAX"
"0","-0.041337458166639286","-0.041337458166639286","-0.041337458166639286"
"1","0.011511381799113199","0.011511381799113199","0.011511381799113199"
"2","-0.0184538274895801","-0.0184538274895801","-0.0184538274895801"
"3","-0.017193822322679495","-0.017193822322679495","-0.017193822322679495"
"4","0.04262417020896281","0.04262417020896281","0.04262417020896281"
"5","-0.04356232166878834","-0.04356232166878834","-0.04356232166878834"
"6","0.09691389694520802","0.09691389694520802","0.09691389694520802"
"7","-0.024768128121280597","-0.024768128121280597","-0.024768128121280597"
"8","0.00029961886642789826","0.00029961886642789826","0.00029961886642789826"
"9","-0.06817838930364534","-0.06817838930364534","-0.06817838930364534"
"10","0.05834994650027209","0.05834994650027209","0.05834994650027209"
"11","-0.022620407622260152","-0.022620407622260152","-0.022620407622260152"
"12","0.035882937818405736","0.035882937818405736","0.035882937818405736"
"13","0.003216070798980068","0.003216070798980068","0.003216070798980068"
"14","0.021439253667041868","0.021439253667041868","0.021439253667041868"
"15","0.03404736713849226","0.03404736713849226","0.03404736713849226"
"16","0.048506114880600186","0.048506114880600186","0.048506114880600186"
"17","-0.026125442138005876","-0.026125442138005876","-0.026125442138005876"
"18","0.10437402306022223","0.10437402306022223","0.10437402306022223"
"19","-0.05345928011376424","-0.05345928011376424","-0.05345928011376424"
"20","-0.02172956726237769","-0.02172956726237769","-0.02172956726237769"
"21","-0.043051223466011486","-0.043051223466011486","-0.043051223466011486"
"22","-0.03199685362933122","-0.03199685362933122","-0.03199685362933122"
"23","0.013007414331710342","0.013007414331710342","0.013007414331710342"
"24","-0.009092701317399336","-0.009092701317399336","-0.009092701317399336"
"25","0.041226349460071594","0.041226349460071594","0.041226349460071594"
"26","0.020310569485189472","0.020310569485189472","0.020310569485189472"
"27","-0.03955019194542235","-0.03955019194542235","-0.03955019194542235"
"28","0.006577625447739863","0.006577625447739863","0.006577625447739863"
"29","-0.008014351098796231","-0.008014351098796231","-0.008014351098796231"
"30","0.013190445916134415","0.013190445916134415","0.013190445916134415"
"31","-0.0763174356582288","-0.0763174356582288","-0.0763174356582288"
"32","0.00535464699816937","0.00535464699816937","0.00535464699816937"
"33","-0.032537817321094335","-0.032537817321094335","-0.032537817321094335"
"34","0.08993945012928682","0.08993945012928682","0.08993945012928682"
"35","0.07230826439121052","0.07230826439121052","0.07230826439121052"
"36","0.011336674131427827","0.011336674131427827","0.011336674131427827"
