"Step","avg 5 5 - mean_reward","avg 5 5 - mean_reward__MIN","avg 5 5 - mean_reward__MAX"
"0","-0.03064595492075711","-0.03064595492075711","-0.03064595492075711"
"1","0.07684965071268332","0.07684965071268332","0.07684965071268332"
"2","-0.026800578888073197","-0.026800578888073197","-0.026800578888073197"
"3","0.008654725109514962","0.008654725109514962","0.008654725109514962"
"4","0.012969372743936893","0.012969372743936893","0.012969372743936893"
"5","0.02416395800785921","0.02416395800785921","0.02416395800785921"
"6","0.030086810764249804","0.030086810764249804","0.030086810764249804"
"7","-0.009655707334342971","-0.009655707334342971","-0.009655707334342971"
"8","0.03613982127945578","0.03613982127945578","0.03613982127945578"
"9","-0.006822363737558434","-0.006822363737558434","-0.006822363737558434"
"10","0.04496515404575353","0.04496515404575353","0.04496515404575353"
"11","-0.01565597194099107","-0.01565597194099107","-0.01565597194099107"
"12","0.009400625537800274","0.009400625537800274","0.009400625537800274"
"13","0.06721014543187828","0.06721014543187828","0.06721014543187828"
"14","-0.0032065797010224074","-0.0032065797010224074","-0.0032065797010224074"
"15","0.054479487791042586","0.054479487791042586","0.054479487791042586"
"16","0.051410337624286984","0.051410337624286984","0.051410337624286984"
"17","-0.007919812630634368","-0.007919812630634368","-0.007919812630634368"
"18","-0.035330551382694406","-0.035330551382694406","-0.035330551382694406"
"19","-0.015432348001481168","-0.015432348001481168","-0.015432348001481168"
"20","-0.004690662290212839","-0.004690662290212839","-0.004690662290212839"
"21","-0.05323720805027951","-0.05323720805027951","-0.05323720805027951"
"22","0.02547965042671025","0.02547965042671025","0.02547965042671025"
"23","-0.06261266550215282","-0.06261266550215282","-0.06261266550215282"
"24","0.012014480017803366","0.012014480017803366","0.012014480017803366"
"25","0.06452253742634202","0.06452253742634202","0.06452253742634202"
"26","0.0006033576860754595","0.0006033576860754595","0.0006033576860754595"
"27","0.00977298580868018","0.00977298580868018","0.00977298580868018"
"28","0.07174501780643075","0.07174501780643075","0.07174501780643075"
"29","-0.0015738151808552354","-0.0015738151808552354","-0.0015738151808552354"
"30","-0.036440058445476875","-0.036440058445476875","-0.036440058445476875"
"31","-0.05579980567882774","-0.05579980567882774","-0.05579980567882774"
"32","0.01615335320399185","0.01615335320399185","0.01615335320399185"
"33","-0.0013236575953576477","-0.0013236575953576477","-0.0013236575953576477"
"34","0.09626214248261947","0.09626214248261947","0.09626214248261947"
"35","0.062043648782539214","0.062043648782539214","0.062043648782539214"
"36","0.07185791170112925","0.07185791170112925","0.07185791170112925"
"37","-0.04519018616179199","-0.04519018616179199","-0.04519018616179199"
"38","-0.022550381112248653","-0.022550381112248653","-0.022550381112248653"
"39","0.013636969529393694","0.013636969529393694","0.013636969529393694"
"40","-0.017962213202750942","-0.017962213202750942","-0.017962213202750942"
"41","-0.025532101948826682","-0.025532101948826682","-0.025532101948826682"
"42","-0.07242302655259429","-0.07242302655259429","-0.07242302655259429"
"43","-0.012270338567868178","-0.012270338567868178","-0.012270338567868178"
"44","0.026060935947238115","0.026060935947238115","0.026060935947238115"
"45","0.011817677071164141","0.011817677071164141","0.011817677071164141"
"46","0.038392386073992535","0.038392386073992535","0.038392386073992535"
"47","0.044322905384717025","0.044322905384717025","0.044322905384717025"
"48","0.026464674768790795","0.026464674768790795","0.026464674768790795"
"49","-0.046094401402326755","-0.046094401402326755","-0.046094401402326755"
"50","0.04968033268130641","0.04968033268130641","0.04968033268130641"
"51","0.018767991284305344","0.018767991284305344","0.018767991284305344"
"52","0.020223838103632655","0.020223838103632655","0.020223838103632655"
"53","0.01143477421198813","0.01143477421198813","0.01143477421198813"
"54","-0.06935968452762037","-0.06935968452762037","-0.06935968452762037"
"55","0.03515859954092524","0.03515859954092524","0.03515859954092524"
"56","0.00551987494593357","0.00551987494593357","0.00551987494593357"
"57","-0.019287739988048065","-0.019287739988048065","-0.019287739988048065"
"58","-0.042685467240582364","-0.042685467240582364","-0.042685467240582364"
"59","-0.050780858906736705","-0.050780858906736705","-0.050780858906736705"
"60","0.039301615734319485","0.039301615734319485","0.039301615734319485"
"61","-0.023837193894358632","-0.023837193894358632","-0.023837193894358632"
"62","0.03188135692083798","0.03188135692083798","0.03188135692083798"
"63","-0.0748969163292072","-0.0748969163292072","-0.0748969163292072"
"64","0.003595584466245482","0.003595584466245482","0.003595584466245482"
"65","-0.04399218647852952","-0.04399218647852952","-0.04399218647852952"
"66","0.008750893293387858","0.008750893293387858","0.008750893293387858"
"67","0.00530322482652112","0.00530322482652112","0.00530322482652112"
"68","0.062249879229251674","0.062249879229251674","0.062249879229251674"
"69","-0.1252250967073883","-0.1252250967073883","-0.1252250967073883"
"70","0.009074799477900544","0.009074799477900544","0.009074799477900544"
"71","0.004677148317728961","0.004677148317728961","0.004677148317728961"
"72","0.037502040130047036","0.037502040130047036","0.037502040130047036"
"73","0.0153834433336823","0.0153834433336823","0.0153834433336823"
"74","-0.0012333984450298655","-0.0012333984450298655","-0.0012333984450298655"
"75","-0.05906525746058169","-0.05906525746058169","-0.05906525746058169"
