"Step","greedy 5 5  - mean_reward","greedy 5 5  - mean_reward__MIN","greedy 5 5  - mean_reward__MAX"
"0","-0.060096054855022514","-0.060096054855022514","-0.060096054855022514"
"1","-0.14322169037012158","-0.14322169037012158","-0.14322169037012158"
"2","-0.15891167747911786","-0.15891167747911786","-0.15891167747911786"
"3","-0.12163143839059085","-0.12163143839059085","-0.12163143839059085"
"4","-0.03285229535648902","-0.03285229535648902","-0.03285229535648902"
"5","-0.0024476166295418905","-0.0024476166295418905","-0.0024476166295418905"
"6","-0.007286531922347544","-0.007286531922347544","-0.007286531922347544"
"7","0.05991488517406206","0.05991488517406206","0.05991488517406206"
"8","0.09251584937041686","0.09251584937041686","0.09251584937041686"
"9","-0.10367224639560128","-0.10367224639560128","-0.10367224639560128"
"10","-0.02806727769491555","-0.02806727769491555","-0.02806727769491555"
"11","-0.07223074716608995","-0.07223074716608995","-0.07223074716608995"
"12","-0.13953417582050007","-0.13953417582050007","-0.13953417582050007"
"13","-0.0669478806197982","-0.0669478806197982","-0.0669478806197982"
"14","-0.16650288780288336","-0.16650288780288336","-0.16650288780288336"
"15","-0.12561575585112306","-0.12561575585112306","-0.12561575585112306"
"16","0.04020163848620007","0.04020163848620007","0.04020163848620007"
"17","0.01958554242576346","0.01958554242576346","0.01958554242576346"
"18","-0.10883560845292804","-0.10883560845292804","-0.10883560845292804"
"19","-0.02356442687756608","-0.02356442687756608","-0.02356442687756608"
"20","-0.06290983997544589","-0.06290983997544589","-0.06290983997544589"
"21","-0.08873190892223347","-0.08873190892223347","-0.08873190892223347"
"22","-0.004401329195573957","-0.004401329195573957","-0.004401329195573957"
"23","-0.06392229183861596","-0.06392229183861596","-0.06392229183861596"
"24","-0.00664931540815239","-0.00664931540815239","-0.00664931540815239"
"25","-0.06278097866289123","-0.06278097866289123","-0.06278097866289123"
"26","-0.07396593240207121","-0.07396593240207121","-0.07396593240207121"
"27","-0.08685342630804369","-0.08685342630804369","-0.08685342630804369"
"28","-0.11760420532641037","-0.11760420532641037","-0.11760420532641037"
"29","-0.0903817228383178","-0.0903817228383178","-0.0903817228383178"
"30","-0.09545823205397301","-0.09545823205397301","-0.09545823205397301"
"31","-0.07091193380429706","-0.07091193380429706","-0.07091193380429706"
"32","0.024813669940681272","0.024813669940681272","0.024813669940681272"
"33","-0.05048809298794913","-0.05048809298794913","-0.05048809298794913"
"34","-0.09565208450388904","-0.09565208450388904","-0.09565208450388904"
"35","0.026289108493262284","0.026289108493262284","0.026289108493262284"
"36","-0.11664063202509713","-0.11664063202509713","-0.11664063202509713"
"37","-0.05453055419068747","-0.05453055419068747","-0.05453055419068747"
"38","-0.0753946673806859","-0.0753946673806859","-0.0753946673806859"
"39","-0.017126059199320264","-0.017126059199320264","-0.017126059199320264"
"40","-0.03894735700532489","-0.03894735700532489","-0.03894735700532489"
"41","-0.11083229648209227","-0.11083229648209227","-0.11083229648209227"
"42","-0.13055947117421832","-0.13055947117421832","-0.13055947117421832"
"43","0.046008172574034285","0.046008172574034285","0.046008172574034285"
"44","-0.06204978976950004","-0.06204978976950004","-0.06204978976950004"
"45","0.01850653434732827","0.01850653434732827","0.01850653434732827"
"46","-0.1969179701820622","-0.1969179701820622","-0.1969179701820622"
"47","-0.023780866206629912","-0.023780866206629912","-0.023780866206629912"
"48","-0.0376808644054151","-0.0376808644054151","-0.0376808644054151"
