"Step","ppo 1 5 5 - mean_reward","ppo 1 5 5 - mean_reward__MIN","ppo 1 5 5 - mean_reward__MAX"
"0","0.010470242035471287","0.010470242035471287","0.010470242035471287"
"1","-0.02907499015140657","-0.02907499015140657","-0.02907499015140657"
"2","-0.002528071363749181","-0.002528071363749181","-0.002528071363749181"
"3","0.046970891217229825","0.046970891217229825","0.046970891217229825"
"4","0.051467524564181216","0.051467524564181216","0.051467524564181216"
"5","0.00881352410899418","0.00881352410899418","0.00881352410899418"
"6","0.05479608931106612","0.05479608931106612","0.05479608931106612"
"7","-0.08856632523381054","-0.08856632523381054","-0.08856632523381054"
"8","-0.03365700392259283","-0.03365700392259283","-0.03365700392259283"
"9","-0.06877890382022311","-0.06877890382022311","-0.06877890382022311"
"10","0.07985404395518235","0.07985404395518235","0.07985404395518235"
"11","-0.009135057344243703","-0.009135057344243703","-0.009135057344243703"
"12","0.04225673781902296","0.04225673781902296","0.04225673781902296"
"13","-0.08069138401702386","-0.08069138401702386","-0.08069138401702386"
"14","-0.021519143775864086","-0.021519143775864086","-0.021519143775864086"
"15","0.05411324758980063","0.05411324758980063","0.05411324758980063"
"16","0.04497278996638127","0.04497278996638127","0.04497278996638127"
"17","0.021655510904829044","0.021655510904829044","0.021655510904829044"
"18","0.02441227550829813","0.02441227550829813","0.02441227550829813"
"19","-0.04198313230973015","-0.04198313230973015","-0.04198313230973015"
"20","0.020142006858527017","0.020142006858527017","0.020142006858527017"
"21","-0.05851772410345553","-0.05851772410345553","-0.05851772410345553"
"22","0.019868014313373664","0.019868014313373664","0.019868014313373664"
"23","-0.007190582641694416","-0.007190582641694416","-0.007190582641694416"
"24","-0.028582312672177982","-0.028582312672177982","-0.028582312672177982"
"25","0.012445698620878111","0.012445698620878111","0.012445698620878111"
"26","-0.02503752839706822","-0.02503752839706822","-0.02503752839706822"
"27","0.02538597876249169","0.02538597876249169","0.02538597876249169"
"28","-0.052777488342146454","-0.052777488342146454","-0.052777488342146454"
"29","0.07092088464667656","0.07092088464667656","0.07092088464667656"
"30","0.009499370743871093","0.009499370743871093","0.009499370743871093"
"31","-0.019158044027878865","-0.019158044027878865","-0.019158044027878865"
"32","0.02731501678972639","0.02731501678972639","0.02731501678972639"
"33","-0.016358763122109654","-0.016358763122109654","-0.016358763122109654"
"34","0.031635301044286065","0.031635301044286065","0.031635301044286065"
"35","0.09092299021207371","0.09092299021207371","0.09092299021207371"
"36","-0.004354242447716305","-0.004354242447716305","-0.004354242447716305"
"37","-0.058916268131904495","-0.058916268131904495","-0.058916268131904495"
"38","0.0007354418850485481","0.0007354418850485481","0.0007354418850485481"
"39","-0.0026726235385633916","-0.0026726235385633916","-0.0026726235385633916"
"40","0.03502694848369443","0.03502694848369443","0.03502694848369443"
"41","-0.022124168962954608","-0.022124168962954608","-0.022124168962954608"
"42","-0.05634406437816659","-0.05634406437816659","-0.05634406437816659"
"43","-0.09225715272524493","-0.09225715272524493","-0.09225715272524493"
"44","0.043219873654938096","0.043219873654938096","0.043219873654938096"
"45","-0.030757703914074404","-0.030757703914074404","-0.030757703914074404"
"46","0.034890090997955","0.034890090997955","0.034890090997955"
"47","0.016711542310569","0.016711542310569","0.016711542310569"
"48","0.01367648067187491","0.01367648067187491","0.01367648067187491"
"49","-0.036430339655676124","-0.036430339655676124","-0.036430339655676124"
"50","0.0025361499635067107","0.0025361499635067107","0.0025361499635067107"
"51","-0.01720575780191632","-0.01720575780191632","-0.01720575780191632"
"52","0.022824806771171817","0.022824806771171817","0.022824806771171817"
"53","0.01834856507931946","0.01834856507931946","0.01834856507931946"
"54","-0.023785260639764754","-0.023785260639764754","-0.023785260639764754"
"55","0.03770502018913509","0.03770502018913509","0.03770502018913509"
"56","0.029464993733529104","0.029464993733529104","0.029464993733529104"
"57","-0.047030039628346745","-0.047030039628346745","-0.047030039628346745"
"58","-0.06005823790674947","-0.06005823790674947","-0.06005823790674947"
"59","-0.030240457080654468","-0.030240457080654468","-0.030240457080654468"
"60","0.06482538931060823","0.06482538931060823","0.06482538931060823"
"61","-0.04030348713711898","-0.04030348713711898","-0.04030348713711898"
"62","-0.03289845597053998","-0.03289845597053998","-0.03289845597053998"
"63","-0.054371517413504614","-0.054371517413504614","-0.054371517413504614"
"64","0.045479148596270724","0.045479148596270724","0.045479148596270724"
"65","-0.020901785484312704","-0.020901785484312704","-0.020901785484312704"
"66","-0.00012038854542005791","-0.00012038854542005791","-0.00012038854542005791"
"67","0.05600411091136529","0.05600411091136529","0.05600411091136529"
"68","-0.01192195650771774","-0.01192195650771774","-0.01192195650771774"
"69","-0.022227916002042002","-0.022227916002042002","-0.022227916002042002"
"70","-0.045890118267371736","-0.045890118267371736","-0.045890118267371736"
"71","-0.05111719944494208","-0.05111719944494208","-0.05111719944494208"
"72","0.04687812236849973","0.04687812236849973","0.04687812236849973"
"73","0.008395778509957874","0.008395778509957874","0.008395778509957874"
"74","0.029350415916389372","0.029350415916389372","0.029350415916389372"
"75","0.020268200741648645","0.020268200741648645","0.020268200741648645"
"76","0.009340425862355626","0.009340425862355626","0.009340425862355626"
"77","0.00012039153953979299","0.00012039153953979299","0.00012039153953979299"
"78","0.02635653319653013","0.02635653319653013","0.02635653319653013"
"79","0.0583919345937728","0.0583919345937728","0.0583919345937728"
"80","0.0524314348223154","0.0524314348223154","0.0524314348223154"
"81","-0.011594848223298206","-0.011594848223298206","-0.011594848223298206"
"82","0.02837781424986251","0.02837781424986251","0.02837781424986251"
"83","-0.06547294866145034","-0.06547294866145034","-0.06547294866145034"
"84","0.01957738541327376","0.01957738541327376","0.01957738541327376"
"85","0.029321764278390845","0.029321764278390845","0.029321764278390845"
"86","0.04667936566749634","0.04667936566749634","0.04667936566749634"
"87","0.04080932261325305","0.04080932261325305","0.04080932261325305"
"88","0.04627909508962481","0.04627909508962481","0.04627909508962481"
"89","0.009605002483866108","0.009605002483866108","0.009605002483866108"
"90","0.019426138273364847","0.019426138273364847","0.019426138273364847"
"91","0.02617004507805995","0.02617004507805995","0.02617004507805995"
"92","0.003800660276019601","0.003800660276019601","0.003800660276019601"
"93","-0.05376825653190515","-0.05376825653190515","-0.05376825653190515"
"94","0.05874437446424948","0.05874437446424948","0.05874437446424948"
"95","-0.0017761897723592268","-0.0017761897723592268","-0.0017761897723592268"
"96","0.030694879199478147","0.030694879199478147","0.030694879199478147"
"97","0.03401905491154246","0.03401905491154246","0.03401905491154246"
"98","-0.011078340709330732","-0.011078340709330732","-0.011078340709330732"
"99","0.007959929203472276","0.007959929203472276","0.007959929203472276"
"100","-0.047599894559942346","-0.047599894559942346","-0.047599894559942346"
"101","0.04103910244305966","0.04103910244305966","0.04103910244305966"
"102","0.012983407976841128","0.012983407976841128","0.012983407976841128"
"103","0.0006897961664714972","0.0006897961664714972","0.0006897961664714972"
"104","0.008698518292847271","0.008698518292847271","0.008698518292847271"
"105","0.02907881241343518","0.02907881241343518","0.02907881241343518"
"106","0.0494007639234186","0.0494007639234186","0.0494007639234186"
"107","0.06303496124334831","0.06303496124334831","0.06303496124334831"
"108","0.05749310492051663","0.05749310492051663","0.05749310492051663"
"109","0.05282186125318509","0.05282186125318509","0.05282186125318509"
"110","0.065968246217652","0.065968246217652","0.065968246217652"
"111","0.011769602027399418","0.011769602027399418","0.011769602027399418"
"112","0.02967489782267568","0.02967489782267568","0.02967489782267568"
"113","0.13585959308379522","0.13585959308379522","0.13585959308379522"
"114","0.0492451506890228","0.0492451506890228","0.0492451506890228"
"115","0.0640128808992536","0.0640128808992536","0.0640128808992536"
"116","0.0492960035229742","0.0492960035229742","0.0492960035229742"
"117","0.09638181383183916","0.09638181383183916","0.09638181383183916"
"118","0.033222745645899325","0.033222745645899325","0.033222745645899325"
"119","0.010637094349056105","0.010637094349056105","0.010637094349056105"
"120","0.03423188950215155","0.03423188950215155","0.03423188950215155"
"121","0.09734245707224996","0.09734245707224996","0.09734245707224996"
"122","0.02094434806669989","0.02094434806669989","0.02094434806669989"
"123","0.07712460078610933","0.07712460078610933","0.07712460078610933"
"124","0.06662564948985962","0.06662564948985962","0.06662564948985962"
"125","0.028757229636990227","0.028757229636990227","0.028757229636990227"
"126","0.06075285435703234","0.06075285435703234","0.06075285435703234"
"127","0.10048353897380491","0.10048353897380491","0.10048353897380491"
"128","0.03166285638439745","0.03166285638439745","0.03166285638439745"
"129","0.09602052045683576","0.09602052045683576","0.09602052045683576"
"130","0.01892503534352489","0.01892503534352489","0.01892503534352489"
"131","0.0668481953562172","0.0668481953562172","0.0668481953562172"
"132","0.09343690354150017","0.09343690354150017","0.09343690354150017"
"133","0.022528705175266554","0.022528705175266554","0.022528705175266554"
"134","0.08704366370047018","0.08704366370047018","0.08704366370047018"
"135","0.032185047058132146","0.032185047058132146","0.032185047058132146"
"136","0.11580543517369972","0.11580543517369972","0.11580543517369972"
"137","0.053069198967508315","0.053069198967508315","0.053069198967508315"
"138","0.035390536028524905","0.035390536028524905","0.035390536028524905"
"139","0.04114208659846268","0.04114208659846268","0.04114208659846268"
"140","0.10162285501743551","0.10162285501743551","0.10162285501743551"
"141","0.10061563683430753","0.10061563683430753","0.10061563683430753"
"142","-0.009222640841289612","-0.009222640841289612","-0.009222640841289612"
"143","0.07769119119374243","0.07769119119374243","0.07769119119374243"
"144","0.11117025354345816","0.11117025354345816","0.11117025354345816"
"145","0.05614270281716211","0.05614270281716211","0.05614270281716211"
"146","0.00907707180908118","0.00907707180908118","0.00907707180908118"
"147","0.10182662309567217","0.10182662309567217","0.10182662309567217"
"148","0.049424623649028276","0.049424623649028276","0.049424623649028276"
"149","0.05431055637324348","0.05431055637324348","0.05431055637324348"
"150","-0.012818731743905512","-0.012818731743905512","-0.012818731743905512"
"151","0.07199195851040538","0.07199195851040538","0.07199195851040538"
"152","0.09242474287454429","0.09242474287454429","0.09242474287454429"
"153","0.08791293387593513","0.08791293387593513","0.08791293387593513"
"154","0.10416729224704548","0.10416729224704548","0.10416729224704548"
"155","0.08401020070726141","0.08401020070726141","0.08401020070726141"
"156","0.08329714864285168","0.08329714864285168","0.08329714864285168"
"157","0.03796273101406921","0.03796273101406921","0.03796273101406921"
"158","0.02343087241941849","0.02343087241941849","0.02343087241941849"
"159","0.09696183327062372","0.09696183327062372","0.09696183327062372"
"160","0.07526078960535848","0.07526078960535848","0.07526078960535848"
"161","0.08135421004450887","0.08135421004450887","0.08135421004450887"
"162","0.06820679596057759","0.06820679596057759","0.06820679596057759"
"163","0.06668625253098974","0.06668625253098974","0.06668625253098974"
"164","0.07896136071487368","0.07896136071487368","0.07896136071487368"
"165","0.13528007150642454","0.13528007150642454","0.13528007150642454"
"166","0.09081501392223881","0.09081501392223881","0.09081501392223881"
"167","-0.024899916889060274","-0.024899916889060274","-0.024899916889060274"
"168","0.05464411772644286","0.05464411772644286","0.05464411772644286"
"169","0.11703905182224307","0.11703905182224307","0.11703905182224307"
"170","0.08862641804625519","0.08862641804625519","0.08862641804625519"
"171","0.08239696731495912","0.08239696731495912","0.08239696731495912"
"172","0.04597468661708539","0.04597468661708539","0.04597468661708539"
"173","0.00937586538518802","0.00937586538518802","0.00937586538518802"
"174","0.016882642602264776","0.016882642602264776","0.016882642602264776"
"175","0.14348360822578318","0.14348360822578318","0.14348360822578318"
"176","0.046362946578565364","0.046362946578565364","0.046362946578565364"
"177","0.0782904373788026","0.0782904373788026","0.0782904373788026"
"178","0.07120850499708768","0.07120850499708768","0.07120850499708768"
"179","0.13392388056382826","0.13392388056382826","0.13392388056382826"
"180","0.005915868144586993","0.005915868144586993","0.005915868144586993"
"181","0.06468279802577494","0.06468279802577494","0.06468279802577494"
"182","0.03795033826468502","0.03795033826468502","0.03795033826468502"
"183","0.0647499734054159","0.0647499734054159","0.0647499734054159"
"184","0.06031504948667069","0.06031504948667069","0.06031504948667069"
"185","0.002648531457444241","0.002648531457444241","0.002648531457444241"
"186","0.04471555125200819","0.04471555125200819","0.04471555125200819"
"187","0.010569252035087375","0.010569252035087375","0.010569252035087375"
"188","0.005486108165389858","0.005486108165389858","0.005486108165389858"
"189","0.04391697874360324","0.04391697874360324","0.04391697874360324"
"190","0.04430573910355942","0.04430573910355942","0.04430573910355942"
"191","-0.04324197182359109","-0.04324197182359109","-0.04324197182359109"
"192","-0.01589740045314425","-0.01589740045314425","-0.01589740045314425"
"193","-0.022756904747734834","-0.022756904747734834","-0.022756904747734834"
"194","0.05000145148659827","0.05000145148659827","0.05000145148659827"
"195","0.014919284518174874","0.014919284518174874","0.014919284518174874"
"196","0.02358209265343474","0.02358209265343474","0.02358209265343474"
"197","0.05327906669966555","0.05327906669966555","0.05327906669966555"
"198","0.09169893992284905","0.09169893992284905","0.09169893992284905"
"199","0.048412631922781814","0.048412631922781814","0.048412631922781814"
"200","0.015175237852623655","0.015175237852623655","0.015175237852623655"
"201","-0.023738869667443145","-0.023738869667443145","-0.023738869667443145"
"202","-0.002548316694723532","-0.002548316694723532","-0.002548316694723532"
"203","0.09945377192502569","0.09945377192502569","0.09945377192502569"
"204","0.02079171195048058","0.02079171195048058","0.02079171195048058"
"205","-0.06477463062368105","-0.06477463062368105","-0.06477463062368105"
"206","0.09999915811515753","0.09999915811515753","0.09999915811515753"
"207","0.057705711498613","0.057705711498613","0.057705711498613"
"208","0.04091245290617369","0.04091245290617369","0.04091245290617369"
"209","0.0404136990499801","0.0404136990499801","0.0404136990499801"
"210","0.12045805530278485","0.12045805530278485","0.12045805530278485"
"211","-0.017118742584265","-0.017118742584265","-0.017118742584265"
"212","0.025073832599481673","0.025073832599481673","0.025073832599481673"
"213","0.048832295654255946","0.048832295654255946","0.048832295654255946"
"214","0.1662891421296706","0.1662891421296706","0.1662891421296706"
"215","0.02147922656005959","0.02147922656005959","0.02147922656005959"
"216","0.06486363787146328","0.06486363787146328","0.06486363787146328"
"217","0.017688774448127755","0.017688774448127755","0.017688774448127755"
"218","-0.02891432093965658","-0.02891432093965658","-0.02891432093965658"
"219","0.0057454480623069775","0.0057454480623069775","0.0057454480623069775"
"220","0.10562863676282583","0.10562863676282583","0.10562863676282583"
"221","0.03990010953067764","0.03990010953067764","0.03990010953067764"
"222","0.04463061738313376","0.04463061738313376","0.04463061738313376"
"223","0.06326415462979743","0.06326415462979743","0.06326415462979743"
"224","0.0688829022654271","0.0688829022654271","0.0688829022654271"
"225","0.10379611970770582","0.10379611970770582","0.10379611970770582"
"226","0.01269772635763062","0.01269772635763062","0.01269772635763062"
"227","-0.005293211974497894","-0.005293211974497894","-0.005293211974497894"
"228","0.06987895238464344","0.06987895238464344","0.06987895238464344"
"229","0.019871138015231406","0.019871138015231406","0.019871138015231406"
"230","0.03286877816147525","0.03286877816147525","0.03286877816147525"
"231","0.07880473071720125","0.07880473071720125","0.07880473071720125"
"232","0.004332768939103555","0.004332768939103555","0.004332768939103555"
"233","0.061326410595213314","0.061326410595213314","0.061326410595213314"
"234","0.01963301489241381","0.01963301489241381","0.01963301489241381"
"235","0.04390122086667077","0.04390122086667077","0.04390122086667077"
"236","0.041858090466506154","0.041858090466506154","0.041858090466506154"
"237","0.06014889241702512","0.06014889241702512","0.06014889241702512"
"238","0.04467316527241727","0.04467316527241727","0.04467316527241727"
"239","0.1044076175894537","0.1044076175894537","0.1044076175894537"
"240","0.08110316187304474","0.08110316187304474","0.08110316187304474"
"241","0.013545836713465756","0.013545836713465756","0.013545836713465756"
"242","0.06807239901427099","0.06807239901427099","0.06807239901427099"
"243","0.05993734553743558","0.05993734553743558","0.05993734553743558"
"244","0.10240582309319725","0.10240582309319725","0.10240582309319725"
"245","0.1423342926398586","0.1423342926398586","0.1423342926398586"
"246","0.09384245786369336","0.09384245786369336","0.09384245786369336"
"247","-0.03006548010422463","-0.03006548010422463","-0.03006548010422463"
"248","-0.04615351960690493","-0.04615351960690493","-0.04615351960690493"
"249","0.04168446051048854","0.04168446051048854","0.04168446051048854"
"250","0.1203822018661479","0.1203822018661479","0.1203822018661479"
"251","0.04366925257417696","0.04366925257417696","0.04366925257417696"
"252","0.01745670130796381","0.01745670130796381","0.01745670130796381"
"253","0.018530120606677296","0.018530120606677296","0.018530120606677296"
"254","0.019422612027414826","0.019422612027414826","0.019422612027414826"
"255","-0.0024991198463816685","-0.0024991198463816685","-0.0024991198463816685"
"256","0.05827638607912887","0.05827638607912887","0.05827638607912887"
"257","0.07512759381944714","0.07512759381944714","0.07512759381944714"
"258","-0.02498563748133893","-0.02498563748133893","-0.02498563748133893"
"259","-0.0406282247537407","-0.0406282247537407","-0.0406282247537407"
"260","0.07652496269095656","0.07652496269095656","0.07652496269095656"
"261","0.03155178782184752","0.03155178782184752","0.03155178782184752"
"262","0.002363356214266766","0.002363356214266766","0.002363356214266766"
"263","0.058214765072531774","0.058214765072531774","0.058214765072531774"
"264","0.014036095522968164","0.014036095522968164","0.014036095522968164"
"265","0.004449761464574894","0.004449761464574894","0.004449761464574894"
"266","0.07105100856207715","0.07105100856207715","0.07105100856207715"
"267","0.050668722344939306","0.050668722344939306","0.050668722344939306"
"268","0.03787810633011928","0.03787810633011928","0.03787810633011928"
"269","0.07069559178800663","0.07069559178800663","0.07069559178800663"
"270","-0.028296270953772896","-0.028296270953772896","-0.028296270953772896"
"271","-0.058860937613230566","-0.058860937613230566","-0.058860937613230566"
"272","0.08186625091831391","0.08186625091831391","0.08186625091831391"
"273","0.1108991316046514","0.1108991316046514","0.1108991316046514"
"274","0.03686756612889965","0.03686756612889965","0.03686756612889965"
"275","0.06637875373692448","0.06637875373692448","0.06637875373692448"
"276","0.04511189450929452","0.04511189450929452","0.04511189450929452"
"277","0.06502552725311019","0.06502552725311019","0.06502552725311019"
"278","0.016074784981734855","0.016074784981734855","0.016074784981734855"
"279","0.06660915849601216","0.06660915849601216","0.06660915849601216"
"280","0.09061408453548364","0.09061408453548364","0.09061408453548364"
"281","0.05296364743319128","0.05296364743319128","0.05296364743319128"
"282","0.016242766585028427","0.016242766585028427","0.016242766585028427"
"283","0.06885159016965509","0.06885159016965509","0.06885159016965509"
"284","0.053079062446602376","0.053079062446602376","0.053079062446602376"
"285","0.08041469034370902","0.08041469034370902","0.08041469034370902"
"286","0.024978725059529288","0.024978725059529288","0.024978725059529288"
"287","0.09302560730136081","0.09302560730136081","0.09302560730136081"
"288","0.07922042518595025","0.07922042518595025","0.07922042518595025"
"289","0.05760212192786496","0.05760212192786496","0.05760212192786496"
"290","0.07330001709370969","0.07330001709370969","0.07330001709370969"
"291","0.03321313456752317","0.03321313456752317","0.03321313456752317"
"292","0.05509769077296735","0.05509769077296735","0.05509769077296735"
"293","0.02942644389757215","0.02942644389757215","0.02942644389757215"
"294","0.06185316628946492","0.06185316628946492","0.06185316628946492"
"295","0.08679548622951976","0.08679548622951976","0.08679548622951976"
"296","0.025585578291728795","0.025585578291728795","0.025585578291728795"
"297","-0.005915737879826917","-0.005915737879826917","-0.005915737879826917"
"298","0.06864080452421033","0.06864080452421033","0.06864080452421033"
"299","0.0061401287519638826","0.0061401287519638826","0.0061401287519638826"
"300","0.033845953923534004","0.033845953923534004","0.033845953923534004"
"301","0.03577025359089982","0.03577025359089982","0.03577025359089982"
"302","0.02034439674275747","0.02034439674275747","0.02034439674275747"
"303","0.07287582995691558","0.07287582995691558","0.07287582995691558"
"304","0.02083869690326447","0.02083869690326447","0.02083869690326447"
"305","0.1616857043086973","0.1616857043086973","0.1616857043086973"
"306","0.08028718064678386","0.08028718064678386","0.08028718064678386"
"307","-0.0001909474690841455","-0.0001909474690841455","-0.0001909474690841455"
"308","0.1280896805665861","0.1280896805665861","0.1280896805665861"
"309","0.015747629655988304","0.015747629655988304","0.015747629655988304"
"310","0.05752989680150447","0.05752989680150447","0.05752989680150447"
"311","-0.003929147888425008","-0.003929147888425008","-0.003929147888425008"
"312","0.04877274388649815","0.04877274388649815","0.04877274388649815"
"313","0.0004319217224512018","0.0004319217224512018","0.0004319217224512018"
"314","0.03527833968000681","0.03527833968000681","0.03527833968000681"
"315","0.05653327136073577","0.05653327136073577","0.05653327136073577"
"316","0.04179511032213172","0.04179511032213172","0.04179511032213172"
"317","0.0515825073039404","0.0515825073039404","0.0515825073039404"
"318","0.0963103537028764","0.0963103537028764","0.0963103537028764"
"319","0.0851197502851606","0.0851197502851606","0.0851197502851606"
"320","-0.02633002211550424","-0.02633002211550424","-0.02633002211550424"
"321","0.036402677821912775","0.036402677821912775","0.036402677821912775"
"322","0.08917537755574458","0.08917537755574458","0.08917537755574458"
"323","0.08354170783735604","0.08354170783735604","0.08354170783735604"
"324","0.05580206860948112","0.05580206860948112","0.05580206860948112"
"325","0.04339443469193297","0.04339443469193297","0.04339443469193297"
"326","0.0772198488249329","0.0772198488249329","0.0772198488249329"
"327","0.03976657060451408","0.03976657060451408","0.03976657060451408"
"328","0.13422013992014972","0.13422013992014972","0.13422013992014972"
"329","0.14344962006675668","0.14344962006675668","0.14344962006675668"
"330","0.09714746811227126","0.09714746811227126","0.09714746811227126"
"331","0.09203954581868606","0.09203954581868606","0.09203954581868606"
