"Step","0 - Jain_fairness_index","0 - Jain_fairness_index__MIN","0 - Jain_fairness_index__MAX"
"0","0.8032786885245902","0.8032786885245902","0.8032786885245902"
"1","0.8344827586206897","0.8344827586206897","0.8344827586206897"
"2","0.8466960352422908","0.8466960352422908","0.8466960352422908"
"3","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"4","0.9236453201970444","0.9236453201970444","0.9236453201970444"
"5","0.852755905511811","0.852755905511811","0.852755905511811"
"6","0.9149837133550489","0.9149837133550489","0.9149837133550489"
"7","0.7065693430656934","0.7065693430656934","0.7065693430656934"
"8","0.9221945137157107","0.9221945137157107","0.9221945137157107"
"9","0.903125","0.903125","0.903125"
"10","0.848663101604278","0.848663101604278","0.848663101604278"
"11","0.816504854368932","0.816504854368932","0.816504854368932"
"12","0.8894736842105263","0.8894736842105263","0.8894736842105263"
"13","0.7605263157894737","0.7605263157894737","0.7605263157894737"
"14","0.8197831978319783","0.8197831978319783","0.8197831978319783"
"15","0.8696594427244582","0.8696594427244582","0.8696594427244582"
"16","0.7434782608695653","0.7434782608695653","0.7434782608695653"
"17","0.927062706270627","0.927062706270627","0.927062706270627"
"18","0.7419512195121951","0.7419512195121951","0.7419512195121951"
"19","0.8320754716981132","0.8320754716981132","0.8320754716981132"
"20","0.9191256830601093","0.9191256830601093","0.9191256830601093"
"21","0.8022222222222222","0.8022222222222222","0.8022222222222222"
"22","0.8932457786116322","0.8932457786116322","0.8932457786116322"
"23","0.8082474226804124","0.8082474226804124","0.8082474226804124"
"24","0.8462686567164179","0.8462686567164179","0.8462686567164179"
"25","0.8859402460456942","0.8859402460456942","0.8859402460456942"
"26","0.6976076555023923","0.6976076555023923","0.6976076555023923"
"27","0.8419243986254296","0.8419243986254296","0.8419243986254296"
"28","0.869172932330827","0.869172932330827","0.869172932330827"
"29","0.7185964912280701","0.7185964912280701","0.7185964912280701"
"30","0.6847161572052402","0.6847161572052402","0.6847161572052402"
"31","0.6726708074534161","0.6726708074534161","0.6726708074534161"
"32","0.8474708171206226","0.8474708171206226","0.8474708171206226"
"33","0.8332231404958678","0.8332231404958678","0.8332231404958678"
"34","0.8344827586206897","0.8344827586206897","0.8344827586206897"
"35","0.7681818181818182","0.7681818181818182","0.7681818181818182"
"36","0.6343234323432343","0.6343234323432343","0.6343234323432343"
"37","0.6477633477633478","0.6477633477633478","0.6477633477633478"
"38","0.6413911060433295","0.6413911060433295","0.6413911060433295"
"39","0.6204991087344028","0.6204991087344028","0.6204991087344028"
"40","0.6100418410041841","0.6100418410041841","0.6100418410041841"
"41","0.6568181818181819","0.6568181818181819","0.6568181818181819"
"42","0.6644067796610169","0.6644067796610169","0.6644067796610169"
"43","0.7220055710306407","0.7220055710306407","0.7220055710306407"
"44","0.5337690631808278","0.5337690631808278","0.5337690631808278"
"45","0.5794486215538847","0.5794486215538847","0.5794486215538847"
"46","0.7602549246813441","0.7602549246813441","0.7602549246813441"
"47","0.6760233918128655","0.6760233918128655","0.6760233918128655"
"48","0.7943765281173594","0.7943765281173594","0.7943765281173594"
"49","0.6457471264367816","0.6457471264367816","0.6457471264367816"
"50","0.6680430879712747","0.6680430879712747","0.6680430879712747"
"51","0.5972350230414747","0.5972350230414747","0.5972350230414747"
"52","0.6105708245243129","0.6105708245243129","0.6105708245243129"
"53","0.5294117647058824","0.5294117647058824","0.5294117647058824"
"54","0.6100840336134454","0.6100840336134454","0.6100840336134454"
"55","0.5584615384615385","0.5584615384615385","0.5584615384615385"
"56","0.7071428571428572","0.7071428571428572","0.7071428571428572"
"57","0.6009370816599732","0.6009370816599732","0.6009370816599732"
"58","0.6531073446327683","0.6531073446327683","0.6531073446327683"
"59","0.5639024390243902","0.5639024390243902","0.5639024390243902"
"60","0.5861244019138756","0.5861244019138756","0.5861244019138756"
"61","0.4979274611398964","0.4979274611398964","0.4979274611398964"
