"Step","1 new - Jain_fairness_index","1 new - Jain_fairness_index__MIN","1 new - Jain_fairness_index__MAX"
"0","0.8106753812636166","0.8106753812636166","0.8106753812636166"
"1","0.7518358531317495","0.7518358531317495","0.7518358531317495"
"2","0.8376923076923077","0.8376923076923077","0.8376923076923077"
"3","0.8722580645161291","0.8722580645161291","0.8722580645161291"
"4","0.9030534351145039","0.9030534351145039","0.9030534351145039"
"5","0.8743169398907104","0.8743169398907104","0.8743169398907104"
"6","0.8","0.8","0.8"
"7","0.8819241982507289","0.8819241982507289","0.8819241982507289"
"8","0.9248","0.9248","0.9248"
"9","0.83681592039801","0.83681592039801","0.83681592039801"
"10","0.8800443458980044","0.8800443458980044","0.8800443458980044"
"11","0.7317073170731707","0.7317073170731707","0.7317073170731707"
"12","0.8142231947483589","0.8142231947483589","0.8142231947483589"
"13","0.6976744186046512","0.6976744186046512","0.6976744186046512"
"14","0.8633410672853828","0.8633410672853828","0.8633410672853828"
"15","0.8198581560283688","0.8198581560283688","0.8198581560283688"
"16","0.6205128205128205","0.6205128205128205","0.6205128205128205"
"17","0.764179104477612","0.764179104477612","0.764179104477612"
"18","0.6595419847328244","0.6595419847328244","0.6595419847328244"
"19","0.689920424403183","0.689920424403183","0.689920424403183"
"20","0.7531309297912714","0.7531309297912714","0.7531309297912714"
"21","0.6886178861788618","0.6886178861788618","0.6886178861788618"
"22","0.8665040650406504","0.8665040650406504","0.8665040650406504"
"23","0.7929384965831435","0.7929384965831435","0.7929384965831435"
"24","0.7368271954674221","0.7368271954674221","0.7368271954674221"
"25","0.8110807113543091","0.8110807113543091","0.8110807113543091"
"26","0.716374269005848","0.716374269005848","0.716374269005848"
"27","0.7159817351598173","0.7159817351598173","0.7159817351598173"
"28","0.7484536082474227","0.7484536082474227","0.7484536082474227"
"29","0.7734463276836158","0.7734463276836158","0.7734463276836158"
"30","0.6788535031847134","0.6788535031847134","0.6788535031847134"
"31","0.5657458563535912","0.5657458563535912","0.5657458563535912"
"32","0.5833034111310592","0.5833034111310592","0.5833034111310592"
"33","0.46963979416809604","0.46963979416809604","0.46963979416809604"
"34","0.7418691588785047","0.7418691588785047","0.7418691588785047"
"35","0.728428093645485","0.728428093645485","0.728428093645485"
"36","0.5363201911589008","0.5363201911589008","0.5363201911589008"
"37","0.532518337408313","0.532518337408313","0.532518337408313"
"38","0.5849615806805708","0.5849615806805708","0.5849615806805708"
"39","0.5260869565217391","0.5260869565217391","0.5260869565217391"
"40","0.5172362555720654","0.5172362555720654","0.5172362555720654"
"41","0.6430446194225722","0.6430446194225722","0.6430446194225722"
"42","0.5541871921182266","0.5541871921182266","0.5541871921182266"
"43","0.48845096241979835","0.48845096241979835","0.48845096241979835"
"44","0.4378238341968912","0.4378238341968912","0.4378238341968912"
"45","0.4918032786885246","0.4918032786885246","0.4918032786885246"
"46","0.49439252336448597","0.49439252336448597","0.49439252336448597"
"47","0.42727272727272725","0.42727272727272725","0.42727272727272725"
"48","0.5132413793103449","0.5132413793103449","0.5132413793103449"
"49","0.5338888888888889","0.5338888888888889","0.5338888888888889"
"50","0.6348178137651822","0.6348178137651822","0.6348178137651822"
"51","0.5851015801354402","0.5851015801354402","0.5851015801354402"
"52","0.6989604989604989","0.6989604989604989","0.6989604989604989"
"53","0.8172147001934236","0.8172147001934236","0.8172147001934236"
"54","0.6730307076101468","0.6730307076101468","0.6730307076101468"
"55","0.7605263157894737","0.7605263157894737","0.7605263157894737"
"56","0.7650549450549451","0.7650549450549451","0.7650549450549451"
"57","0.742052565707134","0.742052565707134","0.742052565707134"
"58","0.7114624505928854","0.7114624505928854","0.7114624505928854"
"59","0.5824242424242424","0.5824242424242424","0.5824242424242424"
"60","0.7060721062618596","0.7060721062618596","0.7060721062618596"
"61","0.6805555555555556","0.6805555555555556","0.6805555555555556"
"62","0.64","0.64","0.64"
"63","0.5520215633423181","0.5520215633423181","0.5520215633423181"
"64","0.5297723292469352","0.5297723292469352","0.5297723292469352"
"65","0.654054054054054","0.654054054054054","0.654054054054054"
"66","0.7866807610993658","0.7866807610993658","0.7866807610993658"
"67","0.85264","0.85264","0.85264"
"68","0.6537414965986394","0.6537414965986394","0.6537414965986394"
"69","0.38726968174204357","0.38726968174204357","0.38726968174204357"
"70","0.67008547008547","0.67008547008547","0.67008547008547"
"71","0.7390658174097664","0.7390658174097664","0.7390658174097664"
"72","0.6677704194260485","0.6677704194260485","0.6677704194260485"
"73","0.5044334975369458","0.5044334975369458","0.5044334975369458"
"74","0.598576512455516","0.598576512455516","0.598576512455516"
"75","0.5421686746987951","0.5421686746987951","0.5421686746987951"
"76","0.5630849220103986","0.5630849220103986","0.5630849220103986"
"77","0.4205689277899344","0.4205689277899344","0.4205689277899344"
"78","0.3675818373812038","0.3675818373812038","0.3675818373812038"
"79","0.4647964796479648","0.4647964796479648","0.4647964796479648"
"80","0.434625322997416","0.434625322997416","0.434625322997416"
"81","0.4049531459170013","0.4049531459170013","0.4049531459170013"
"82","0.49507494646680944","0.49507494646680944","0.49507494646680944"
"83","0.5005044136191678","0.5005044136191678","0.5005044136191678"
"84","0.49152798789712554","0.49152798789712554","0.49152798789712554"
"85","0.48246153846153844","0.48246153846153844","0.48246153846153844"
"86","0.6016666666666667","0.6016666666666667","0.6016666666666667"
"87","0.507202881152461","0.507202881152461","0.507202881152461"
"88","0.5630849220103986","0.5630849220103986","0.5630849220103986"
"89","0.49872495446265935","0.49872495446265935","0.49872495446265935"
"90","0.6300743889479278","0.6300743889479278","0.6300743889479278"
"91","0.5035182679296346","0.5035182679296346","0.5035182679296346"
"92","0.532289156626506","0.532289156626506","0.532289156626506"
"93","0.5451612903225806","0.5451612903225806","0.5451612903225806"
"94","0.5428734321550741","0.5428734321550741","0.5428734321550741"
"95","0.5986425339366516","0.5986425339366516","0.5986425339366516"
"96","0.6259259259259259","0.6259259259259259","0.6259259259259259"
"97","0.524031007751938","0.524031007751938","0.524031007751938"
"98","0.5572898799313893","0.5572898799313893","0.5572898799313893"
"99","0.5244604316546763","0.5244604316546763","0.5244604316546763"
"100","0.5489626556016598","0.5489626556016598","0.5489626556016598"
"101","0.6104238258877435","0.6104238258877435","0.6104238258877435"
"102","0.5233400402414486","0.5233400402414486","0.5233400402414486"
"103","0.58","0.58","0.58"
"104","0.5180592991913746","0.5180592991913746","0.5180592991913746"
"105","0.5961977186311787","0.5961977186311787","0.5961977186311787"
"106","0.5555555555555556","0.5555555555555556","0.5555555555555556"
"107","0.4908471275559883","0.4908471275559883","0.4908471275559883"
"108","0.496030534351145","0.496030534351145","0.496030534351145"
"109","0.5278350515463918","0.5278350515463918","0.5278350515463918"
"110","0.5744376278118609","0.5744376278118609","0.5744376278118609"
"111","0.35596412556053814","0.35596412556053814","0.35596412556053814"
"112","0.4282922684791844","0.4282922684791844","0.4282922684791844"
"113","0.5511475409836065","0.5511475409836065","0.5511475409836065"
"114","0.5522727272727272","0.5522727272727272","0.5522727272727272"
"115","0.5850746268656717","0.5850746268656717","0.5850746268656717"
"116","0.5270916334661354","0.5270916334661354","0.5270916334661354"
"117","0.5405144694533762","0.5405144694533762","0.5405144694533762"
"118","0.47103882476390346","0.47103882476390346","0.47103882476390346"
